"",BBFN1.M.DE.N.1.L.ES.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:19,
1994-07,0.683,
1994-08,0.594,
1994-09,0.846,
1994-10,0.896,
1994-11,0.852,
1994-12,0.896,
1995-01,1.044,
1995-02,1.072,
1995-03,1.039,
1995-04,0.970,
1995-05,1.057,
1995-06,1.114,
1995-07,1.024,
1995-08,0.864,
1995-09,1.012,
1995-10,1.076,
1995-11,1.117,
1995-12,1.134,
1996-01,1.182,
1996-02,1.144,
1996-03,1.164,
1996-04,1.125,
1996-05,1.161,
1996-06,1.220,
1996-07,1.077,
1996-08,0.910,
1996-09,1.093,
1996-10,1.181,
1996-11,1.195,
1996-12,1.133,
1997-01,1.200,
1997-02,1.071,
1997-03,1.198,
1997-04,1.272,
1997-05,1.286,
1997-06,1.344,
1997-07,1.228,
1997-08,0.886,
1997-09,1.280,
1997-10,1.228,
1997-11,1.424,
1997-12,1.396,
1998-01,1.244,
1998-02,1.212,
1998-03,1.406,
1998-04,1.422,
1998-05,1.495,
1998-06,1.590,
1998-07,1.436,
1998-08,1.342,
1998-09,1.531,
1998-10,1.501,
1998-11,1.473,
1998-12,1.399,
1999-01,1.367,
1999-02,1.424,
1999-03,1.462,
1999-04,1.332,
1999-05,1.445,
1999-06,1.458,
1999-07,1.440,
1999-08,1.186,
1999-09,1.367,
1999-10,1.395,
1999-11,1.435,
1999-12,1.445,
2000-01,1.397,
2000-02,1.499,
2000-03,1.553,
2000-04,1.433,
2000-05,1.582,
2000-06,1.690,
2000-07,1.491,
2000-08,1.437,
2000-09,1.600,
2000-10,1.655,
2000-11,1.755,
2000-12,1.742,
2001-01,1.843,
2001-02,1.804,
2001-03,1.893,
2001-04,1.552,
2001-05,1.808,
2001-06,1.888,
2001-07,1.681,
2001-08,1.470,
2001-09,1.608,
2001-10,1.581,
2001-11,1.674,
2001-12,1.855,
2002-01,1.698,
2002-02,1.760,
2002-03,1.637,
2002-04,1.723,
2002-05,1.605,
2002-06,1.845,
2002-07,1.503,
2002-08,1.526,
2002-09,1.886,
2002-10,1.679,
2002-11,1.880,
2002-12,1.795,
2003-01,1.789,
2003-02,1.824,
2003-03,1.952,
2003-04,1.651,
2003-05,1.672,
2003-06,1.721,
2003-07,1.578,
2003-08,1.528,
2003-09,1.735,
2003-10,1.788,
2003-11,1.905,
2003-12,1.877,
2004-01,1.668,
2004-02,1.782,
2004-03,1.795,
2004-04,1.589,
2004-05,1.847,
2004-06,1.951,
2004-07,1.904,
2004-08,1.476,
2004-09,1.918,
2004-10,1.965,
2004-11,1.808,
2004-12,1.850,
2005-01,1.669,
2005-02,1.803,
2005-03,1.835,
2005-04,2.015,
2005-05,1.844,
2005-06,1.933,
2005-07,1.854,
2005-08,1.477,
2005-09,1.826,
2005-10,1.787,
2005-11,1.936,
2005-12,2.010,
2006-01,1.750,
2006-02,1.864,
2006-03,1.954,
2006-04,1.873,
2006-05,1.934,
2006-06,2.007,
2006-07,1.774,
2006-08,1.518,
2006-09,1.893,
2006-10,1.939,
2006-11,2.388,
2006-12,2.281,
2007-01,2.441,
2007-02,2.470,
2007-03,2.666,
2007-04,2.331,
2007-05,2.479,
2007-06,2.583,
2007-07,2.103,
2007-08,2.123,
2007-09,2.374,
2007-10,2.335,
2007-11,2.553,
2007-12,2.326,
2008-01,2.374,
2008-02,2.448,
2008-03,2.377,
2008-04,2.686,
2008-05,2.546,
2008-06,2.511,
2008-07,2.537,
2008-08,1.889,
2008-09,2.429,
2008-10,2.419,
2008-11,2.386,
2008-12,2.058,
2009-01,2.045,
2009-02,2.075,
2009-03,2.196,
2009-04,2.000,
2009-05,2.026,
2009-06,2.261,
2009-07,2.048,
2009-08,1.707,
2009-09,2.160,
2009-10,2.262,
2009-11,2.134,
2009-12,2.243,
2010-01,2.149,
2010-02,2.348,
2010-03,2.499,
2010-04,2.192,
2010-05,2.449,
2010-06,2.464,
2010-07,2.505,
2010-08,1.770,
2010-09,2.352,
2010-10,2.497,
2010-11,2.341,
2010-12,2.473,
2011-01,2.447,
2011-02,2.459,
2011-03,2.646,
2011-04,2.562,
2011-05,2.475,
2011-06,2.628,
2011-07,2.483,
2011-08,1.856,
2011-09,2.607,
2011-10,2.392,
2011-11,2.318,
2011-12,2.345,
2012-01,2.282,
2012-02,2.682,
2012-03,2.782,
2012-04,2.351,
2012-05,2.441,
2012-06,2.345,
2012-07,2.346,
2012-08,1.991,
2012-09,2.352,
2012-10,2.414,
2012-11,2.334,
2012-12,2.272,
2013-01,2.361,
2013-02,2.535,
2013-03,2.445,
2013-04,2.543,
2013-05,2.784,
2013-06,2.661,
2013-07,2.555,
2013-08,2.502,
2013-09,3.005,
2013-10,2.844,
2013-11,2.868,
2013-12,2.396,
2014-01,2.636,
2014-02,2.917,
2014-03,2.792,
2014-04,2.736,
2014-05,3.184,
2014-06,3.022,
2014-07,2.875,
2014-08,2.521,
2014-09,3.232,
2014-10,3.323,
2014-11,3.654,
2014-12,3.283,
