"",BBK01.DQ7833,BBK01.DQ7833_FLAGS
"","Pay rates, production sector (incl. construction), excluding ancillary benefits, excluding one-off payments, on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:18,
1991-01,49.0,
1991-04,51.6,
1991-07,53.1,
1991-10,53.6,
1992-01,54.4,
1992-04,59.4,
1992-07,60.1,
1992-10,60.5,
1993-01,61.1,
1993-04,64.0,
1993-07,64.9,
1993-10,65.2,
1994-01,65.7,
1994-04,66.5,
1994-07,67.6,
1994-10,67.9,
1995-01,68.4,
1995-04,70.3,
1995-07,71.1,
1995-10,72.6,
1996-01,73.1,
1996-04,73.6,
1996-07,74.0,
1996-10,74.5,
1997-01,74.7,
1997-04,75.3,
1997-07,75.4,
1997-10,75.6,
1998-01,75.7,
1998-04,76.9,
1998-07,77.1,
1998-10,77.2,
1999-01,77.8,
1999-04,78.9,
1999-07,79.5,
1999-10,79.6,
2000-01,79.6,
2000-04,80.5,
2000-07,81.2,
2000-10,81.4,
2001-01,81.5,
2001-04,82.2,
2001-07,82.8,
2001-10,82.9,
2002-01,83.0,
2002-04,83.7,
2002-07,84.8,
2002-10,85.3,
2003-01,85.5,
2003-04,86.2,
2003-07,87.1,
2003-10,87.2,
2004-01,87.6,
2004-04,88.0,
2004-07,88.2,
2004-10,88.3,
2005-01,88.6,
2005-04,89.2,
2005-07,89.4,
2005-10,89.5,
2006-01,89.3,
2006-04,90.0,
2006-07,90.8,
2006-10,90.8,
2007-01,91.0,
2007-04,92.1,
2007-07,93.8,
2007-10,93.9,
2008-01,94.1,
2008-04,95.1,
2008-07,96.1,
2008-10,96.3,
2009-01,96.9,
2009-04,98.3,
2009-07,99.2,
2009-10,99.3,
2010-01,99.6,
2010-04,100.0,
2010-07,100.1,
2010-10,100.3,
2011-01,100.4,
2011-04,102.2,
2011-07,102.7,
2011-10,103.1,
2012-01,103.3,
2012-04,104.8,
2012-07,106.3,
2012-10,106.7,
2013-01,106.9,
2013-04,107.5,
2013-07,109.7,
2013-10,109.8,
2014-01,110.3,
2014-04,111.6,
2014-07,112.7,
2014-10,112.9,
