"",BBK01.OEAE20K,BBK01.OEAE20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:56,
2002-01,0.375,
2002-04,0.403,
2002-07,0.404,
2002-10,0.615,
2003-01,0.648,
2003-04,0.644,
2003-07,0.584,
2003-10,0.479,
2004-01,0.242,
2004-04,1.530,
2004-07,1.431,
2004-10,1.388,
2005-01,1.376,
2005-04,1.120,
2005-07,0.947,
2005-10,1.118,
2006-01,1.249,
2006-04,1.252,
2006-07,1.299,
2006-10,1.268,
2007-01,0.963,
2007-04,1.025,
2007-07,1.006,
2007-10,1.080,
2008-01,1.192,
2008-04,1.310,
2008-07,1.406,
2008-10,1.395,
2009-01,1.671,
2009-04,1.661,
2009-07,1.484,
2009-10,1.477,
2010-01,1.132,
2010-04,1.123,
2010-07,1.158,
2010-10,1.118,
2011-01,0.977,
2011-04,0.901,
2011-07,0.942,
2011-10,0.998,
2012-01,0.951,
2012-04,1.003,
2012-07,1.056,
2012-10,1.152,
2013-01,0.962,
2013-04,0.962,
2013-07,1.044,
2013-10,1.146,
2014-01,1.331,
2014-04,1.312,
2014-07,1.238,
