"",BBSF2.M.1.T.00000.DGW01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:37,
2009-09,391,
2009-10,251,
2009-11,204,
2009-12,282,
2010-01,422,
2010-02,588,
2010-03,536,
2010-04,665,
2010-05,512,
2010-06,655,
2010-07,550,
2010-08,606,
2010-09,278,
2010-10,312,
2010-11,393,
2010-12,432,
2011-01,504,
2011-02,566,
2011-03,857,
2011-04,738,
2011-05,716,
2011-06,553,
2011-07,588,
2011-08,749,
2011-09,1017,
2011-10,544,
2011-11,695,
2011-12,769,
2012-01,588,
2012-02,694,
2012-03,685,
2012-04,599,
2012-05,588,
2012-06,550,
2012-07,310,
2012-08,460,
2012-09,374,
2012-10,349,
2012-11,347,
2012-12,235,
2013-01,245,
2013-02,249,
2013-03,197,
2013-04,196,
2013-05,405,
2013-06,708,
2013-07,420,
2013-08,297,
2013-09,340,
2013-10,236,
2013-11,268,
2013-12,418,
2014-01,251,
2014-02,175,
2014-03,171,
2014-04,210,
2014-05,158,
2014-06,235,
2014-07,296,
2014-08,338,
2014-09,239,
2014-10,274,
2014-11,174,
