"",BBK01.OEBB22V,BBK01.OEBB22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:18,
2002-01,0.168,
2002-04,0.196,
2002-07,0.196,
2002-10,0.219,
2003-01,0.223,
2003-04,0.259,
2003-07,0.396,
2003-10,0.359,
2004-01,0.206,
2004-04,0.222,
2004-07,0.213,
2004-10,0.230,
2005-01,0.189,
2005-04,0.185,
2005-07,0.156,
2005-10,0.125,
2006-01,0.136,
2006-04,0.165,
2006-07,0.123,
2006-10,0.084,
2007-01,0.089,
2007-04,0.085,
2007-07,0.076,
2007-10,0.067,
2008-01,0.063,
2008-04,0.065,
2008-07,0.050,
2008-10,0.104,
2009-01,0.094,
2009-04,0.102,
2009-07,0.117,
2009-10,0.121,
2010-01,0.114,
2010-04,0.114,
2010-07,0.102,
2010-10,0.081,
2011-01,0.092,
2011-04,0.076,
2011-07,0.067,
2011-10,0.069,
2012-01,0.036,
2012-04,0.029,
2012-07,0.127,
2012-10,0.087,
2013-01,0.063,
2013-04,0.050,
2013-07,0.069,
2013-10,0.052,
2014-01,0.178,
2014-04,0.182,
2014-07,0.184,
