"",BBK01.OEAG04T,BBK01.OEAG04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:37,
2002-01,3.654,
2002-04,3.693,
2002-07,3.708,
2002-10,3.781,
2003-01,3.859,
2003-04,3.876,
2003-07,3.962,
2003-10,3.836,
2004-01,3.981,
2004-04,4.035,
2004-07,4.100,
2004-10,4.006,
2005-01,4.096,
2005-04,4.186,
2005-07,4.254,
2005-10,4.258,
2006-01,4.297,
2006-04,4.218,
2006-07,4.267,
2006-10,4.246,
2007-01,4.345,
2007-04,4.361,
2007-07,4.328,
2007-10,4.349,
2008-01,4.238,
2008-04,4.155,
2008-07,4.265,
2008-10,4.422,
2009-01,4.004,
2009-04,3.936,
2009-07,3.865,
2009-10,3.735,
2010-01,3.744,
2010-04,3.585,
2010-07,3.807,
2010-10,3.768,
2011-01,3.910,
2011-04,3.794,
2011-07,3.828,
2011-10,3.802,
2012-01,3.980,
2012-04,3.939,
2012-07,3.931,
2012-10,3.898,
2013-01,3.753,
2013-04,3.644,
2013-07,3.734,
2013-10,3.655,
2014-01,4.116,
2014-04,4.076,
2014-07,4.151,
