"",BBK01.OEHJ08M,BBK01.OEHJ08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:58,
2002-01,0.151,
2002-04,0.150,
2002-07,0.148,
2002-10,0.144,
2003-01,0.146,
2003-04,0.148,
2003-07,0.151,
2003-10,0.153,
2004-01,0.161,
2004-04,0.147,
2004-07,0.160,
2004-10,0.168,
2005-01,0.170,
2005-04,0.175,
2005-07,0.177,
2005-10,0.193,
2006-01,0.176,
2006-04,0.174,
2006-07,0.175,
2006-10,0.174,
2007-01,0.159,
2007-04,0.156,
2007-07,0.145,
2007-10,0.142,
2008-01,0.129,
2008-04,0.127,
2008-07,0.120,
2008-10,0.119,
2009-01,0.130,
2009-04,0.156,
2009-07,0.127,
2009-10,0.114,
2010-01,0.110,
2010-04,0.104,
2010-07,0.110,
2010-10,0.128,
2011-01,0.136,
2011-04,0.137,
2011-07,0.131,
2011-10,0.134,
2012-01,0.136,
2012-04,0.134,
2012-07,0.129,
2012-10,0.123,
2013-01,0.132,
2013-04,0.135,
2013-07,0.127,
2013-10,0.119,
2014-01,0.118,
2014-04,0.118,
2014-07,0.109,
