"",BBSF2.M.1.S.00000.SON01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:05,
2009-09,2,
2009-10,-,Nothing exists
2009-11,0,
2009-12,15,
2010-01,1,
2010-02,4,
2010-03,4,
2010-04,2,
2010-05,-,Nothing exists
2010-06,12,
2010-07,0,
2010-08,8,
2010-09,40,
2010-10,-,Nothing exists
2010-11,26,
2010-12,31,
2011-01,1,
2011-02,0,
2011-03,7,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,17,
2011-07,-,Nothing exists
2011-08,67,
2011-09,0,
2011-10,21,
2011-11,15,
2011-12,78,
2012-01,9,
2012-02,22,
2012-03,27,
2012-04,0,
2012-05,14,
2012-06,0,
2012-07,53,
2012-08,8,
2012-09,21,
2012-10,5,
2012-11,35,
2012-12,161,
2013-01,19,
2013-02,2,
2013-03,2,
2013-04,64,
2013-05,-,Nothing exists
2013-06,20,
2013-07,-,Nothing exists
2013-08,46,
2013-09,11,
2013-10,23,
2013-11,56,
2013-12,192,
2014-01,14,
2014-02,3,
2014-03,25,
2014-04,42,
2014-05,2,
2014-06,18,
2014-07,2,
2014-08,56,
2014-09,14,
2014-10,46,
2014-11,34,
