"",BBK01.OELJ03S,BBK01.OELJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:36,
2002-01,0.172,
2002-04,0.159,
2002-07,0.161,
2002-10,0.160,
2003-01,0.130,
2003-04,0.113,
2003-07,0.109,
2003-10,0.107,
2004-01,0.107,
2004-04,0.091,
2004-07,0.090,
2004-10,0.098,
2005-01,0.100,
2005-04,0.087,
2005-07,0.086,
2005-10,0.096,
2006-01,0.091,
2006-04,0.087,
2006-07,0.083,
2006-10,0.119,
2007-01,0.088,
2007-04,0.076,
2007-07,0.080,
2007-10,0.089,
2008-01,0.107,
2008-04,0.100,
2008-07,0.180,
2008-10,0.189,
2009-01,0.189,
2009-04,0.165,
2009-07,0.139,
2009-10,0.141,
2010-01,0.124,
2010-04,0.133,
2010-07,0.127,
2010-10,0.140,
2011-01,0.176,
2011-04,0.170,
2011-07,0.140,
2011-10,0.185,
2012-01,0.170,
2012-04,0.192,
2012-07,0.147,
2012-10,0.125,
2013-01,0.148,
2013-04,0.095,
2013-07,0.076,
2013-10,0.090,
2014-01,0.127,
2014-04,0.138,
2014-07,0.145,
