"",BBK01.OEAE23G,BBK01.OEAE23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:56,
2002-01,0.312,
2002-04,0.346,
2002-07,0.338,
2002-10,0.325,
2003-01,0.316,
2003-04,0.307,
2003-07,0.309,
2003-10,0.333,
2004-01,0.334,
2004-04,0.335,
2004-07,0.328,
2004-10,0.328,
2005-01,0.322,
2005-04,0.327,
2005-07,0.316,
2005-10,0.309,
2006-01,0.299,
2006-04,0.290,
2006-07,0.281,
2006-10,0.250,
2007-01,0.253,
2007-04,0.249,
2007-07,0.256,
2007-10,0.254,
2008-01,0.254,
2008-04,0.251,
2008-07,0.252,
2008-10,0.251,
2009-01,0.249,
2009-04,0.254,
2009-07,0.251,
2009-10,0.245,
2010-01,0.223,
2010-04,0.264,
2010-07,0.266,
2010-10,0.267,
2011-01,0.241,
2011-04,0.247,
2011-07,0.244,
2011-10,0.250,
2012-01,0.257,
2012-04,0.268,
2012-07,0.262,
2012-10,0.286,
2013-01,0.261,
2013-04,0.278,
2013-07,0.290,
2013-10,0.291,
2014-01,0.296,
2014-04,0.294,
2014-07,0.291,
