"",BBK01.OEBL03J,BBK01.OEBL03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:14,
2002-01,0.449,
2002-04,0.412,
2002-07,0.396,
2002-10,0.388,
2003-01,0.337,
2003-04,0.314,
2003-07,0.288,
2003-10,0.279,
2004-01,0.254,
2004-04,0.228,
2004-07,0.211,
2004-10,0.195,
2005-01,0.224,
2005-04,0.216,
2005-07,0.243,
2005-10,0.256,
2006-01,0.275,
2006-04,0.277,
2006-07,0.309,
2006-10,0.356,
2007-01,0.370,
2007-04,0.402,
2007-07,0.454,
2007-10,0.569,
2008-01,0.608,
2008-04,0.649,
2008-07,0.756,
2008-10,0.798,
2009-01,0.647,
2009-04,0.560,
2009-07,0.425,
2009-10,0.370,
2010-01,0.350,
2010-04,0.326,
2010-07,0.284,
2010-10,0.270,
2011-01,0.277,
2011-04,0.280,
2011-07,0.281,
2011-10,0.294,
2012-01,0.286,
2012-04,0.344,
2012-07,0.311,
2012-10,0.269,
2013-01,0.226,
2013-04,0.198,
2013-07,0.161,
2013-10,0.159,
2014-01,0.148,
2014-04,0.151,
2014-07,0.139,
