"",BBK01.OEAB14N,BBK01.OEAB14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:31,
2002-01,11.056,
2002-04,11.045,
2002-07,11.045,
2002-10,10.878,
2003-01,10.565,
2003-04,10.451,
2003-07,10.176,
2003-10,9.796,
2004-01,9.228,
2004-04,9.027,
2004-07,8.957,
2004-10,8.305,
2005-01,8.266,
2005-04,7.968,
2005-07,7.831,
2005-10,7.702,
2006-01,7.605,
2006-04,7.512,
2006-07,7.394,
2006-10,7.195,
2007-01,7.023,
2007-04,7.002,
2007-07,6.801,
2007-10,7.046,
2008-01,6.793,
2008-04,6.727,
2008-07,6.740,
2008-10,6.764,
2009-01,6.946,
2009-04,6.848,
2009-07,6.683,
2009-10,6.621,
2010-01,6.594,
2010-04,6.655,
2010-07,6.488,
2010-10,6.356,
2011-01,6.184,
2011-04,6.245,
2011-07,6.073,
2011-10,6.065,
2012-01,5.905,
2012-04,6.003,
2012-07,5.917,
2012-10,5.951,
2013-01,5.996,
2013-04,5.973,
2013-07,5.846,
2013-10,5.822,
2014-01,5.696,
2014-04,5.668,
2014-07,5.509,
