"",BBK01.OEXI03Q,BBK01.OEXI03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:44,
2002-01,1.492,
2002-04,1.520,
2002-07,1.561,
2002-10,1.522,
2003-01,1.324,
2003-04,1.257,
2003-07,1.173,
2003-10,1.353,
2004-01,1.445,
2004-04,1.420,
2004-07,1.805,
2004-10,1.079,
2005-01,0.985,
2005-04,0.988,
2005-07,1.060,
2005-10,1.180,
2006-01,1.450,
2006-04,1.677,
2006-07,1.983,
2006-10,2.220,
2007-01,2.235,
2007-04,2.267,
2007-07,2.329,
2007-10,2.534,
2008-01,2.720,
2008-04,2.809,
2008-07,2.996,
2008-10,2.860,
2009-01,2.208,
2009-04,1.783,
2009-07,1.613,
2009-10,1.293,
2010-01,1.262,
2010-04,1.245,
2010-07,1.214,
2010-10,1.227,
2011-01,1.266,
2011-04,1.287,
2011-07,1.382,
2011-10,1.404,
2012-01,1.492,
2012-04,1.380,
2012-07,1.313,
2012-10,1.338,
2013-01,1.331,
2013-04,1.321,
2013-07,1.351,
2013-10,1.298,
2014-01,1.195,
2014-04,1.212,
2014-07,1.138,
