"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:29,
1991-01,-8.149,
1991-04,-4.949,
1991-07,-21.235,
1991-10,-6.878,
1992-01,22.779,
1992-04,12.006,
1992-07,4.924,
1992-10,391.143,
1993-01,-49.237,
1993-04,95.823,
1993-07,13.773,
1993-10,219.571,
1994-01,120.636,
1994-04,-60.773,
1994-07,-16.027,
1994-10,-59.996,
1995-01,-0.068,
1995-04,-76.235,
1995-07,39.734,
1995-10,21.924,
1996-01,17.529,
1996-04,-85.587,
1996-07,45.189,
1996-10,63.671,
1997-01,-42.649,
1997-04,2.539,
1997-07,-143.714,
1997-10,-10.160,
1998-01,13.733,
1998-04,-70.431,
1998-07,95.042,
1998-10,149.183,
1999-01,228.466,
1999-04,-1281.112,
1999-07,-2658.993,
1999-10,195.296,
2000-01,46.206,
2000-04,201.012,
2000-07,53.993,
2000-10,89.913,
2001-01,391.809,
2001-04,181.936,
2001-07,-124.114,
2001-10,-2012.631,
2002-01,7.464,
2002-04,-245.708,
2002-07,195.028,
2002-10,-136.516,
2003-01,-109.217,
2003-04,-258.664,
2003-07,-254.393,
2003-10,-153.899,
2004-01,114.419,
2004-04,94.605,
2004-07,-2105.682,
2004-10,-204.951,
2005-01,422.297,
2005-04,-49.391,
2005-07,-357.756,
2005-10,192.137,
2006-01,27.555,
2006-04,-30.067,
2006-07,-308.567,
2006-10,-52.986,
2007-01,88.147,
2007-04,643.109,
2007-07,-558.054,
2007-10,261.297,
2008-01,-141.253,
2008-04,-391.522,
2008-07,-423.382,
2008-10,-323.468,
2009-01,483.593,
2009-04,393.460,
2009-07,-57.217,
2009-10,85.589,
2010-01,-503.464,
2010-04,-643.421,
2010-07,-361.033,
2010-10,-712.468,
2011-01,-27.158,
2011-04,-438.694,
2011-07,479.508,
2011-10,391.490,
2012-01,370.382,
2012-04,62.940,
2012-07,220.041,
2012-10,258.396,
2013-01,496.392,
2013-04,768.182,
2013-07,987.972,
2013-10,505.297,
2014-01,549.446,Provisional value
2014-04,875.273,Provisional value
2014-07,837.968,Provisional value
2014-10,279.984,Provisional value
