"",BBK01.OEAD11N,BBK01.OEAD11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:27,
2002-01,13.244,
2002-04,12.987,
2002-07,12.263,
2002-10,11.400,
2003-01,11.609,
2003-04,11.993,
2003-07,11.373,
2003-10,10.465,
2004-01,9.952,
2004-04,9.889,
2004-07,9.355,
2004-10,8.527,
2005-01,9.304,
2005-04,8.709,
2005-07,8.121,
2005-10,8.621,
2006-01,8.154,
2006-04,8.419,
2006-07,8.827,
2006-10,7.929,
2007-01,8.438,
2007-04,8.607,
2007-07,8.382,
2007-10,8.592,
2008-01,9.438,
2008-04,9.819,
2008-07,9.431,
2008-10,9.111,
2009-01,8.846,
2009-04,9.136,
2009-07,7.854,
2009-10,6.764,
2010-01,7.445,
2010-04,7.323,
2010-07,6.844,
2010-10,6.495,
2011-01,7.606,
2011-04,7.980,
2011-07,7.823,
2011-10,7.000,
2012-01,7.862,
2012-04,7.948,
2012-07,7.290,
2012-10,7.057,
2013-01,7.632,
2013-04,7.740,
2013-07,7.267,
2013-10,6.970,
2014-01,7.729,
2014-04,7.831,
2014-07,7.464,
