"",BBK01.SUD222,BBK01.SUD222_FLAGS
"",New business (volumes) of German banks / Loans for other purposes to households with an initial rate fixation of over 5 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:11,
2003-01,2290,
2003-02,2437,
2003-03,3140,
2003-04,2764,
2003-05,2637,
2003-06,2973,
2003-07,2654,
2003-08,2316,
2003-09,2684,
2003-10,2543,
2003-11,2004,
2003-12,3978,
2004-01,1998,
2004-02,2112,
2004-03,3549,
2004-04,2903,
2004-05,1725,
2004-06,3278,
2004-07,2018,
2004-08,1365,
2004-09,2577,
2004-10,1415,
2004-11,1989,
2004-12,2967,
2005-01,2251,
2005-02,1653,
2005-03,2224,
2005-04,2157,
2005-05,1620,
2005-06,2597,
2005-07,2397,
2005-08,2399,
2005-09,2490,
2005-10,2295,
2005-11,2844,
2005-12,5586,
2006-01,3668,
2006-02,2340,
2006-03,3635,
2006-04,3212,
2006-05,3161,
2006-06,3148,
2006-07,2500,
2006-08,2530,
2006-09,2323,
2006-10,2727,
2006-11,2379,
2006-12,3524,
2007-01,3064,
2007-02,2194,
2007-03,2622,
2007-04,2556,
2007-05,2492,
2007-06,2899,
2007-07,3442,
2007-08,2895,
2007-09,2287,
2007-10,2996,
2007-11,2356,
2007-12,2926,
2008-01,2866,
2008-02,1752,
2008-03,1838,
2008-04,2565,
2008-05,1850,
2008-06,2628,
2008-07,2802,
2008-08,2164,
2008-09,1934,
2008-10,2171,
2008-11,1420,
2008-12,1966,
2009-01,2145,
2009-02,1538,
2009-03,2192,
2009-04,2329,
2009-05,2020,
2009-06,2407,
2009-07,2800,
2009-08,1825,
2009-09,2043,
2009-10,2480,
2009-11,1859,
2009-12,2902,
2010-01,1894,
2010-02,1634,
2010-03,2487,
2010-04,2110,
2010-05,2021,
2010-06,2456,
2010-07,2740,
2010-08,2206,
2010-09,2581,
2010-10,2246,
2010-11,2536,
2010-12,3534,
2011-01,2234,
2011-02,2456,
2011-03,2880,
2011-04,2360,
2011-05,2605,
2011-06,2391,
2011-07,2613,
2011-08,2051,
2011-09,2576,
2011-10,2524,
2011-11,2109,
2011-12,3272,
2012-01,2326,
2012-02,1987,
2012-03,2677,
2012-04,2095,
2012-05,2171,
2012-06,2603,
2012-07,2930,
2012-08,2588,
2012-09,2252,
2012-10,2634,
2012-11,2443,
2012-12,2376,
2013-01,2735,
2013-02,2125,
2013-03,2574,
2013-04,2815,
2013-05,2318,
2013-06,2651,
2013-07,3583,
2013-08,2398,
2013-09,2472,
2013-10,2141,
2013-11,2024,
2013-12,2922,
2014-01,2188,
2014-02,2153,
2014-03,2841,
2014-04,2814,
2014-05,2136,
2014-06,2325,
2014-07,2713,
2014-08,1996,
2014-09,2586,
2014-10,2521,
2014-11,2215,
2014-12,3053,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc. p = Provisional",
