"",BBK01.OEAF15P,BBK01.OEAF15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:13,
2002-01,0.505,
2002-04,0.508,
2002-07,0.525,
2002-10,0.511,
2003-01,0.471,
2003-04,0.472,
2003-07,0.466,
2003-10,0.441,
2004-01,0.402,
2004-04,0.396,
2004-07,0.395,
2004-10,0.377,
2005-01,0.363,
2005-04,0.369,
2005-07,0.382,
2005-10,0.361,
2006-01,0.354,
2006-04,0.351,
2006-07,0.364,
2006-10,0.343,
2007-01,0.335,
2007-04,0.340,
2007-07,0.338,
2007-10,0.333,
2008-01,0.328,
2008-04,0.323,
2008-07,0.339,
2008-10,0.336,
2009-01,0.319,
2009-04,0.324,
2009-07,0.316,
2009-10,0.306,
2010-01,0.297,
2010-04,0.282,
2010-07,0.293,
2010-10,0.279,
2011-01,0.276,
2011-04,0.275,
2011-07,0.280,
2011-10,0.265,
2012-01,0.265,
2012-04,0.253,
2012-07,0.258,
2012-10,0.256,
2013-01,0.299,
2013-04,0.290,
2013-07,0.278,
2013-10,0.279,
2014-01,0.267,
2014-04,0.269,
2014-07,0.272,
