"",BBDL1.Q.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A,BBDL1.Q.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A_FLAGS
"",Employed persons according to ESA 2010 / Germany / Domestic concept / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:09,
1991-01,39101,
1991-04,38916,
1991-07,38597,
1991-10,38548,
1992-01,38492,
1992-04,38383,
1992-07,38214,
1992-10,38042,
1993-01,37968,
1993-04,37807,
1993-07,37707,
1993-10,37658,
1994-01,37761,
1994-04,37738,
1994-07,37798,
1994-10,37882,
1995-01,37922,
1995-04,37946,
1995-07,37944,
1995-10,38007,
1996-01,37964,
1996-04,38021,
1996-07,37965,
1996-10,37917,
1997-01,37862,
1997-04,37929,
1997-07,37992,
1997-10,37998,
1998-01,38083,
1998-04,38298,
1998-07,38539,
1998-10,38702,
1999-01,38779,
1999-04,38802,
1999-07,39144,
1999-10,39391,
2000-01,39793,
2000-04,39919,
2000-07,39981,
2000-10,39976,
2001-01,39866,
2001-04,39846,
2001-07,39755,
2001-10,39767,
2002-01,39793,
2002-04,39724,
2002-07,39575,
2002-10,39426,
2003-01,39310,
2003-04,39155,
2003-07,39167,
2003-10,39161,
2004-01,39281,
2004-04,39380,
2004-07,39356,
2004-10,39325,
2005-01,39253,
2005-04,39250,
2005-07,39346,
2005-10,39453,
2006-01,39312,
2006-04,39557,
2006-07,39763,
2006-10,39904,
2007-01,40113,
2007-04,40276,
2007-07,40392,
2007-10,40523,
2008-01,40744,
2008-04,40803,
2008-07,40901,
2008-10,40982,
2009-01,41019,
2009-04,40902,
2009-07,40832,
2009-10,40825,
2010-01,40816,
2010-04,40976,
2010-07,41076,
2010-10,41213,
2011-01,41367,
2011-04,41527,
2011-07,41631,
2011-10,41756,
2012-01,41914,
2012-04,41982,
2012-07,42075,
2012-10,42161,
2013-01,42186,
2013-04,42232,
2013-07,42328,
2013-10,42379,
2014-01,42494,
2014-04,42621,
2014-07,42701,
2014-10,42789,
