"",BBK01.OEHB03J,BBK01.OEHB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:28,
2002-01,0.637,
2002-04,0.694,
2002-07,0.610,
2002-10,0.610,
2003-01,0.607,
2003-04,0.516,
2003-07,0.488,
2003-10,0.495,
2004-01,0.564,
2004-04,0.623,
2004-07,0.633,
2004-10,0.599,
2005-01,0.566,
2005-04,0.590,
2005-07,0.583,
2005-10,0.617,
2006-01,0.592,
2006-04,0.623,
2006-07,0.656,
2006-10,0.592,
2007-01,0.578,
2007-04,0.557,
2007-07,0.594,
2007-10,0.593,
2008-01,0.598,
2008-04,0.639,
2008-07,0.618,
2008-10,0.525,
2009-01,0.496,
2009-04,0.513,
2009-07,0.531,
2009-10,0.603,
2010-01,0.585,
2010-04,0.598,
2010-07,0.594,
2010-10,0.615,
2011-01,0.618,
2011-04,0.577,
2011-07,0.564,
2011-10,0.589,
2012-01,0.534,
2012-04,0.535,
2012-07,0.569,
2012-10,0.579,
2013-01,0.574,
2013-04,0.595,
2013-07,0.597,
2013-10,0.590,
2014-01,0.553,
2014-04,0.547,
2014-07,0.565,
