"",BBSF2.M.1.P.00000.REN01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:34,
2009-09,684,
2009-10,641,
2009-11,627,
2009-12,601,
2010-01,583,
2010-02,591,
2010-03,596,
2010-04,579,
2010-05,559,
2010-06,550,
2010-07,534,
2010-08,539,
2010-09,593,
2010-10,597,
2010-11,570,
2010-12,583,
2011-01,535,
2011-02,547,
2011-03,541,
2011-04,534,
2011-05,476,
2011-06,496,
2011-07,417,
2011-08,391,
2011-09,395,
2011-10,379,
2011-11,345,
2011-12,378,
2012-01,378,
2012-02,376,
2012-03,384,
2012-04,371,
2012-05,352,
2012-06,294,
2012-07,237,
2012-08,209,
2012-09,220,
2012-10,203,
2012-11,207,
2012-12,210,
2013-01,220,
2013-02,251,
2013-03,285,
2013-04,287,
2013-05,283,
2013-06,276,
2013-07,248,
2013-08,260,
2013-09,283,
2013-10,297,
2013-11,309,
2013-12,304,
2014-01,306,
2014-02,308,
2014-03,317,
2014-04,323,
2014-05,334,
2014-06,301,
2014-07,295,
2014-08,263,
2014-09,273,
2014-10,276,
2014-11,286,
