"",BBK01.OEHI01G,BBK01.OEHI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:25,
2002-01,85.148,
2002-04,85.313,
2002-07,85.436,
2002-10,87.806,
2003-01,86.993,
2003-04,86.793,
2003-07,86.718,
2003-10,88.634,
2004-01,87.421,
2004-04,87.529,
2004-07,87.706,
2004-10,89.897,
2005-01,88.596,
2005-04,88.954,
2005-07,89.369,
2005-10,91.409,
2006-01,90.325,
2006-04,90.578,
2006-07,90.954,
2006-10,92.933,
2007-01,91.633,
2007-04,91.876,
2007-07,92.520,
2007-10,95.514,
2008-01,94.128,
2008-04,94.955,
2008-07,95.357,
2008-10,100.267,
2009-01,100.087,
2009-04,101.232,
2009-07,101.669,
2009-10,105.309,
2010-01,104.817,
2010-04,105.875,
2010-07,106.238,
2010-10,108.897,
2011-01,107.555,
2011-04,108.693,
2011-07,109.595,
2011-10,113.193,
2012-01,112.241,
2012-04,113.273,
2012-07,114.821,
2012-10,116.085,
2013-01,114.273,
2013-04,115.080,
2013-07,115.786,
2013-10,118.500,
2014-01,117.684,
2014-04,119.056,
2014-07,118.968,
