"",BBFB1.Q.N.DE.TR.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:55,
1991-01,215.895,
1991-04,290.802,
1991-07,479.925,
1991-10,272.028,
1992-01,255.242,
1992-04,345.342,
1992-07,553.213,
1992-10,420.636,
1993-01,235.163,
1993-04,333.781,
1993-07,598.848,
1993-10,338.302,
1994-01,269.674,
1994-04,362.877,
1994-07,593.030,
1994-10,338.967,
1995-01,368.401,
1995-04,546.992,
1995-07,994.062,
1995-10,542.953,
1996-01,375.522,
1996-04,586.683,
1996-07,1131.321,
1996-10,585.966,
1997-01,466.631,
1997-04,706.428,
1997-07,1297.678,
1997-10,730.439,
1998-01,467.868,
1998-04,691.436,
1998-07,1253.838,
1998-10,675.644,
1999-01,359.336,
1999-04,505.658,
1999-07,922.145,
1999-10,503.848,
2000-01,471.158,
2000-04,737.179,
2000-07,1374.196,
2000-10,770.489,
2001-01,560.898,
2001-04,864.483,
2001-07,1611.046,
2001-10,817.376,
2002-01,459.188,
2002-04,950.411,
2002-07,1619.045,
2002-10,941.761,
2003-01,452.225,
2003-04,734.052,
2003-07,1616.907,
2003-10,949.960,
2004-01,463.136,
2004-04,895.838,
2004-07,2055.508,
2004-10,993.327,
2005-01,640.218,
2005-04,1281.356,
2005-07,1992.794,
2005-10,1182.846,
2006-01,566.377,
2006-04,931.101,
2006-07,1838.909,
2006-10,1027.513,
2007-01,552.708,
2007-04,1109.762,
2007-07,1802.721,
2007-10,1046.840,
2008-01,741.233,
2008-04,1174.243,
2008-07,1684.016,
2008-10,876.741,
2009-01,548.480,
2009-04,983.527,
2009-07,1606.577,
2009-10,1115.041,
2010-01,657.066,
2010-04,1156.011,
2010-07,2008.477,
2010-10,1170.741,
2011-01,596.419,
2011-04,1351.478,
2011-07,1979.896,
2011-10,1442.667,
2012-01,672.603,
2012-04,1286.421,
2012-07,2009.536,
2012-10,1345.019,
2013-01,747.826,
2013-04,1500.494,
2013-07,2067.824,
2013-10,1532.106,
2014-01,820.893,Provisional value
2014-04,1467.588,Provisional value
2014-07,2475.490,Provisional value
