"",BBFN1.M.DE.N.1.A.CY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1996-04,0.144,
1996-05,0.141,
1996-06,0.136,
1996-07,0.115,
1996-08,0.121,
1996-09,0.123,
1996-10,0.145,
1996-11,0.139,
1996-12,0.043,
1997-01,0.123,
1997-02,0.162,
1997-03,0.159,
1997-04,0.157,
1997-05,0.163,
1997-06,0.152,
1997-07,0.170,
1997-08,0.169,
1997-09,0.163,
1997-10,0.172,
1997-11,0.162,
1997-12,0.054,
1998-01,0.115,
1998-02,0.148,
1998-03,0.165,
1998-04,0.174,
1998-05,0.171,
1998-06,0.166,
1998-07,0.171,
1998-08,0.168,
1998-09,0.172,
1998-10,0.175,
1998-11,0.177,
1998-12,0.055,
1999-01,0.112,
1999-02,0.141,
1999-03,0.161,
1999-04,0.176,
1999-05,0.165,
1999-06,0.168,
1999-07,0.181,
1999-08,0.177,
1999-09,0.166,
1999-10,0.164,
1999-11,0.171,
1999-12,0.062,
2000-01,0.115,
2000-02,0.152,
2000-03,0.173,
2000-04,0.177,
2000-05,0.175,
2000-06,0.183,
2000-07,0.167,
2000-08,0.191,
2000-09,0.205,
2000-10,0.199,
2000-11,0.211,
2000-12,0.075,
2001-01,0.128,
2001-02,0.181,
2001-03,0.202,
2001-04,0.224,
2001-05,0.219,
2001-06,0.222,
2001-07,0.211,
2001-08,0.222,
2001-09,0.214,
2001-10,0.219,
2001-11,0.221,
2001-12,0.077,
2002-01,0.154,
2002-02,0.196,
2002-03,0.221,
2002-04,0.242,
2002-05,0.230,
2002-06,0.227,
2002-07,0.236,
2002-08,0.251,
2002-09,0.253,
2002-10,0.262,
2002-11,0.257,
2002-12,0.093,
2003-01,0.183,
2003-02,0.250,
2003-03,0.267,
2003-04,0.279,
2003-05,0.285,
2003-06,0.279,
2003-07,0.272,
2003-08,0.291,
2003-09,0.291,
2003-10,0.287,
2003-11,0.302,
2003-12,0.103,
2004-01,0.197,
2004-02,0.277,
2004-03,0.304,
2004-04,0.354,
2004-05,0.344,
2004-06,0.334,
2004-07,0.329,
2004-08,0.365,
2004-09,0.375,
2004-10,0.361,
2004-11,0.332,
2004-12,0.123,
2005-01,0.223,
2005-02,0.342,
2005-03,0.368,
2005-04,0.395,
2005-05,0.405,
2005-06,0.388,
2005-07,0.393,
2005-08,0.429,
2005-09,0.426,
2005-10,0.418,
2005-11,0.370,
2005-12,0.153,
2006-01,0.290,
2006-02,0.399,
2006-03,0.412,
2006-04,0.441,
2006-05,0.393,
2006-06,0.388,
2006-07,0.424,
2006-08,0.526,
2006-09,0.406,
2006-10,0.484,
2006-11,0.459,
2006-12,0.169,
2007-01,0.348,
2007-02,0.407,
2007-03,0.363,
2007-04,0.445,
2007-05,0.407,
2007-06,0.417,
2007-07,0.434,
2007-08,0.467,
2007-09,0.404,
2007-10,0.460,
2007-11,0.434,
2007-12,0.168,
2008-01,0.329,
2008-02,0.398,
2008-03,0.392,
2008-04,0.417,
2008-05,0.418,
2008-06,0.384,
2008-07,0.465,
2008-08,0.379,
2008-09,0.434,
2008-10,0.350,
2008-11,0.352,
2008-12,0.110,
2009-01,0.236,
2009-02,0.269,
2009-03,0.322,
2009-04,0.322,
2009-05,0.319,
2009-06,0.287,
2009-07,0.289,
2009-08,0.309,
2009-09,0.302,
2009-10,0.333,
2009-11,0.308,
2009-12,0.132,
2010-01,0.196,
2010-02,0.277,
2010-03,0.316,
2010-04,0.344,
2010-05,0.329,
2010-06,0.317,
2010-07,0.316,
2010-08,0.317,
2010-09,0.302,
2010-10,0.324,
2010-11,0.313,
2010-12,0.109,
2011-01,0.239,
2011-02,0.279,
2011-03,0.263,
2011-04,0.212,
2011-05,0.236,
2011-06,0.238,
2011-07,0.260,
2011-08,0.268,
2011-09,0.241,
2011-10,0.284,
2011-11,0.193,
2011-12,0.119,
2012-01,0.227,
2012-02,0.290,
2012-03,0.321,
2012-04,0.344,
2012-05,0.316,
2012-06,0.323,
2012-07,0.353,
2012-08,0.369,
2012-09,0.344,
2012-10,0.349,
2012-11,0.344,
2012-12,0.100,
2013-01,0.245,
2013-02,0.319,
2013-03,0.323,
2013-04,0.348,
2013-05,0.355,
2013-06,0.349,
2013-07,0.349,
2013-08,0.361,
2013-09,0.397,
2013-10,0.389,
2013-11,0.420,
2013-12,0.184,
2014-01,0.306,
2014-02,0.393,
2014-03,0.397,
2014-04,0.432,
2014-05,0.406,
2014-06,0.412,
2014-07,0.369,
2014-08,0.401,
2014-09,0.379,
2014-10,0.384,
2014-11,0.400,
2014-12,0.152,
