"",BBK01.CEF9N0,BBK01.CEF9N0_FLAGS
"",Non-MMF investment fund shares or units  debtor: Rest of the world                                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:30,
1999-01,83.0,
1999-04,85.1,
1999-07,87.7,
1999-10,94.2,
2000-01,108.5,
2000-04,116.4,
2000-07,123.5,
2000-10,128.1,
2001-01,132.8,
2001-04,136.8,
2001-07,139.5,
2001-10,143.6,
2002-01,147.3,
2002-04,148.7,
2002-07,148.7,
2002-10,148.3,
2003-01,148.0,
2003-04,148.6,
2003-07,149.1,
2003-10,150.4,
2004-01,161.1,
2004-04,163.9,
2004-07,167.6,
2004-10,169.5,
2005-01,186.6,
2005-04,195.7,
2005-07,209.5,
2005-10,217.2,
2006-01,225.4,
2006-04,219.7,
2006-07,229.8,
2006-10,249.7,
2007-01,258.2,
2007-04,275.8,
2007-07,278.3,
2007-10,280.0,
2008-01,268.1,
2008-04,275.8,
2008-07,270.6,
2008-10,236.6,
2009-01,232.9,
2009-04,245.7,
2009-07,269.2,
2009-10,284.5,
2010-01,297.2,
2010-04,298.5,
2010-07,309.6,
2010-10,322.8,
2011-01,320.9,
2011-04,320.3,
2011-07,291.6,
2011-10,295.1,
2012-01,313.3,
2012-04,306.9,
2012-07,320.8,
2012-10,333.9,
2013-01,373.3,
2013-04,363.8,
2013-07,376.6,
2013-10,385.9,
2014-01,394.6,
2014-04,415.8,
2014-07,431.0,
