"",BBK01.OEAC01P,BBK01.OEAC01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:31,
2002-01,9.226,
2002-04,9.306,
2002-07,9.302,
2002-10,8.901,
2003-01,9.058,
2003-04,8.927,
2003-07,8.839,
2003-10,8.811,
2004-01,8.642,
2004-04,8.652,
2004-07,8.735,
2004-10,8.658,
2005-01,8.707,
2005-04,8.764,
2005-07,8.609,
2005-10,8.471,
2006-01,8.495,
2006-04,8.571,
2006-07,8.545,
2006-10,8.466,
2007-01,8.425,
2007-04,8.421,
2007-07,8.473,
2007-10,8.635,
2008-01,8.681,
2008-04,8.971,
2008-07,9.102,
2008-10,9.149,
2009-01,9.098,
2009-04,9.198,
2009-07,9.265,
2009-10,9.273,
2010-01,9.384,
2010-04,9.459,
2010-07,9.381,
2010-10,9.440,
2011-01,9.525,
2011-04,9.727,
2011-07,9.934,
2011-10,9.769,
2012-01,10.242,
2012-04,10.575,
2012-07,10.695,
2012-10,10.659,
2013-01,10.706,
2013-04,10.730,
2013-07,10.653,
2013-10,10.786,
2014-01,10.624,
2014-04,10.717,
2014-07,10.827,
