"",BBK01.OEAA40U,BBK01.OEAA40U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:55,
2002-01,0.033,
2002-04,0.034,
2002-07,0.029,
2002-10,0.029,
2003-01,0.028,
2003-04,0.027,
2003-07,0.031,
2003-10,0.031,
2004-01,0.030,
2004-04,0.032,
2004-07,0.031,
2004-10,0.038,
2005-01,0.060,
2005-04,0.058,
2005-07,0.058,
2005-10,0.056,
2006-01,0.054,
2006-04,0.055,
2006-07,0.053,
2006-10,0.053,
2007-01,0.050,
2007-04,0.049,
2007-07,0.052,
2007-10,0.050,
2008-01,0.045,
2008-04,0.044,
2008-07,0.044,
2008-10,0.045,
2009-01,0.052,
2009-04,0.052,
2009-07,0.052,
2009-10,0.053,
2010-01,0.053,
2010-04,0.053,
2010-07,0.048,
2010-10,0.048,
2011-01,0.048,
2011-04,0.049,
2011-07,0.049,
2011-10,0.050,
2012-01,0.050,
2012-04,0.048,
2012-07,0.051,
2012-10,0.052,
2013-01,0.054,
2013-04,0.055,
2013-07,0.054,
2013-10,0.054,
2014-01,0.052,
2014-04,0.052,
2014-07,0.051,
