"",BBK01.OEAD29G,BBK01.OEAD29G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:37,
2002-01,0.128,
2002-04,0.147,
2002-07,0.138,
2002-10,0.127,
2003-01,0.132,
2003-04,0.125,
2003-07,0.122,
2003-10,0.119,
2004-01,0.108,
2004-04,0.107,
2004-07,0.108,
2004-10,0.102,
2005-01,0.107,
2005-04,0.112,
2005-07,0.109,
2005-10,0.105,
2006-01,0.113,
2006-04,0.122,
2006-07,0.121,
2006-10,0.108,
2007-01,0.100,
2007-04,0.095,
2007-07,0.094,
2007-10,0.119,
2008-01,0.116,
2008-04,0.118,
2008-07,0.116,
2008-10,0.148,
2009-01,0.158,
2009-04,0.180,
2009-07,0.150,
2009-10,0.157,
2010-01,0.119,
2010-04,0.095,
2010-07,0.097,
2010-10,0.096,
2011-01,0.136,
2011-04,0.126,
2011-07,0.112,
2011-10,0.109,
2012-01,0.116,
2012-04,0.099,
2012-07,0.095,
2012-10,0.098,
2013-01,0.147,
2013-04,0.071,
2013-07,0.065,
2013-10,0.060,
2014-01,0.063,
2014-04,0.063,
2014-07,0.061,
