"",BBK01.OEAI04S,BBK01.OEAI04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:27,
2002-01,2.724,
2002-04,2.602,
2002-07,2.546,
2002-10,2.381,
2003-01,2.126,
2003-04,2.031,
2003-07,1.981,
2003-10,1.914,
2004-01,1.760,
2004-04,1.671,
2004-07,1.669,
2004-10,1.775,
2005-01,1.766,
2005-04,1.817,
2005-07,1.787,
2005-10,1.803,
2006-01,1.920,
2006-04,1.992,
2006-07,2.126,
2006-10,2.106,
2007-01,2.354,
2007-04,2.571,
2007-07,2.776,
2007-10,2.944,
2008-01,3.201,
2008-04,3.354,
2008-07,3.688,
2008-10,3.502,
2009-01,2.897,
2009-04,2.347,
2009-07,2.006,
2009-10,1.711,
2010-01,1.585,
2010-04,1.622,
2010-07,1.713,
2010-10,1.607,
2011-01,1.799,
2011-04,1.812,
2011-07,1.811,
2011-10,2.423,
2012-01,2.633,
2012-04,2.734,
2012-07,2.712,
2012-10,2.558,
2013-01,2.282,
2013-04,2.588,
2013-07,2.427,
2013-10,2.379,
2014-01,2.439,
2014-04,2.426,
2014-07,2.311,
