"",BBSF2.M.1.T.00000.DRE01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:34,
2009-09,9,
2009-10,9,
2009-11,9,
2009-12,11,
2010-01,10,
2010-02,11,
2010-03,12,
2010-04,12,
2010-05,13,
2010-06,13,
2010-07,16,
2010-08,19,
2010-09,20,
2010-10,22,
2010-11,21,
2010-12,23,
2011-01,24,
2011-02,25,
2011-03,25,
2011-04,27,
2011-05,24,
2011-06,24,
2011-07,21,
2011-08,20,
2011-09,21,
2011-10,24,
2011-11,22,
2011-12,23,
2012-01,25,
2012-02,25,
2012-03,24,
2012-04,23,
2012-05,23,
2012-06,25,
2012-07,27,
2012-08,28,
2012-09,30,
2012-10,31,
2012-11,31,
2012-12,33,
2013-01,34,
2013-02,34,
2013-03,36,
2013-04,39,
2013-05,40,
2013-06,36,
2013-07,38,
2013-08,38,
2013-09,38,
2013-10,42,
2013-11,43,
2013-12,42,
2014-01,42,
2014-02,43,
2014-03,43,
2014-04,42,
2014-05,43,
2014-06,42,
2014-07,42,
2014-08,45,
2014-09,47,
2014-10,48,
2014-11,51,
