"",BBK01.OEHI02R,BBK01.OEHI02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:35,
2002-01,2.907,
2002-04,2.934,
2002-07,2.960,
2002-10,3.007,
2003-01,2.865,
2003-04,2.872,
2003-07,2.949,
2003-10,3.022,
2004-01,2.859,
2004-04,2.894,
2004-07,2.936,
2004-10,3.055,
2005-01,2.872,
2005-04,2.928,
2005-07,3.008,
2005-10,3.063,
2006-01,2.954,
2006-04,2.951,
2006-07,3.080,
2006-10,3.101,
2007-01,3.030,
2007-04,3.040,
2007-07,3.155,
2007-10,3.182,
2008-01,3.072,
2008-04,3.108,
2008-07,3.195,
2008-10,3.338,
2009-01,3.302,
2009-04,3.501,
2009-07,3.706,
2009-10,3.814,
2010-01,3.739,
2010-04,3.864,
2010-07,3.955,
2010-10,4.032,
2011-01,3.893,
2011-04,3.922,
2011-07,4.021,
2011-10,4.081,
2012-01,3.997,
2012-04,4.145,
2012-07,4.326,
2012-10,4.464,
2013-01,4.379,
2013-04,4.530,
2013-07,4.690,
2013-10,4.800,
2014-01,4.780,
2014-04,4.939,
2014-07,5.232,
