"",BBK01.OXA8R3,BBK01.OXA8R3_FLAGS
"","Consumer credit to domestic households and non-profit institutions serving households, traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:33,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,2.790,
2010-07,4.306,
2010-08,3.171,
2010-09,3.028,
2010-10,3.797,
2010-11,3.051,
2010-12,2.949,
2011-01,2.825,
2011-02,2.723,
2011-03,3.121,
2011-04,3.005,
2011-05,2.862,
2011-06,2.735,
2011-07,3.531,
2011-08,4.307,
2011-09,4.480,
2011-10,4.373,
2011-11,5.775,
2011-12,5.636,
2012-01,5.452,
2012-02,5.288,
2012-03,5.109,
2012-04,6.659,
2012-05,6.296,
2012-06,6.135,
2012-07,5.966,
2012-08,5.811,
2012-09,5.659,
2012-10,5.497,
2012-11,6.196,
2012-12,6.070,
2013-01,5.856,
2013-02,5.686,
2013-03,8.009,
2013-04,7.699,
2013-05,7.403,
2013-06,8.780,
2013-07,9.439,
2013-08,9.064,
2013-09,8.704,
2013-10,8.953,
2013-11,8.629,
2013-12,8.336,
2014-01,8.003,
2014-02,7.685,
2014-03,9.360,
2014-04,11.630,
2014-05,11.550,
2014-06,11.158,
2014-07,10.787,
2014-08,10.436,
2014-09,13.377,
2014-10,13.015,
2014-11,12.667,
2014-12,12.277,Provisional value
