"",BBK01.CEBFCQ,BBK01.CEBFCQ_FLAGS
"",longer-term loans debtor: General government                    creditor: All sectors  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:20,
1991-01,255.3,
1991-04,258.1,
1991-07,258.0,
1991-10,262.8,
1992-01,263.5,
1992-04,259.7,
1992-07,260.2,
1992-10,263.0,
1993-01,268.1,
1993-04,272.7,
1993-07,276.8,
1993-10,285.3,
1994-01,304.3,
1994-04,304.1,
1994-07,304.8,
1994-10,313.8,
1995-01,325.1,
1995-04,331.6,
1995-07,359.4,
1995-10,382.1,
1996-01,387.2,
1996-04,384.3,
1996-07,398.6,
1996-10,413.6,
1997-01,409.6,
1997-04,421.9,
1997-07,426.7,
1997-10,430.2,
1998-01,438.2,
1998-04,438.5,
1998-07,436.7,
1998-10,436.1,
1999-01,461.0,
1999-04,460.0,
1999-07,455.1,
1999-10,461.0,
2000-01,461.0,
2000-04,462.9,
2000-07,456.7,
2000-10,444.3,
2001-01,438.4,
2001-04,436.4,
2001-07,433.1,
2001-10,427.7,
2002-01,422.3,
2002-04,417.6,
2002-07,414.8,
2002-10,411.6,
2003-01,409.1,
2003-04,409.6,
2003-07,412.7,
2003-10,418.6,
2004-01,417.1,
2004-04,417.1,
2004-07,419.5,
2004-10,417.5,
2005-01,418.4,
2005-04,412.1,
2005-07,414.7,
2005-10,412.3,
2006-01,408.0,
2006-04,402.7,
2006-07,399.3,
2006-10,401.8,
2007-01,391.4,
2007-04,387.4,
2007-07,383.4,
2007-10,377.7,
2008-01,385.2,
2008-04,386.6,
2008-07,381.1,
2008-10,381.7,
2009-01,379.9,
2009-04,386.5,
2009-07,389.8,
2009-10,393.2,
2010-01,390.3,
2010-04,404.3,
2010-07,405.7,
2010-10,417.6,
2011-01,422.1,
2011-04,417.8,
2011-07,422.1,
2011-10,416.2,
2012-01,430.4,
2012-04,438.5,
2012-07,439.6,
2012-10,446.8,
2013-01,447.8,
2013-04,452.2,
2013-07,452.1,
2013-10,450.5,
2014-01,449.6,
