"",BBK01.WU081U,BBK01.WU081U_FLAGS
"","ECB-REPORT, QUOTED SHARES OMFIs outstanding amount Shares in circulation at market values (market capitalisation) / Banks (MFIs)",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-09 06:40:08,
1999-01,147224,
1999-02,145217,
1999-03,148754,
1999-04,149472,
1999-05,135232,
1999-06,142906,
1999-07,144164,
1999-08,128344,
1999-09,131479,
1999-10,138489,
1999-11,133293,
1999-12,154223,
2000-01,172696,
2000-02,178873,
2000-03,183793,
2000-04,183469,
2000-05,174885,
2000-06,156611,
2000-07,166131,
2000-08,168588,
2000-09,161446,
2000-10,162062,
2000-11,143419,
2000-12,150880,
2001-01,163405,
2001-02,150392,
2001-03,149856,
2001-04,154452,
2001-05,150133,
2001-06,147098,
2001-07,148403,
2001-08,145607,
2001-09,116642,
2001-10,120680,
2001-11,126948,
2001-12,131828,
2002-01,129491,
2002-02,128473,
2002-03,138679,
2002-04,137784,
2002-05,138046,
2002-06,128129,
2002-07,90228,
2002-08,83417,
2002-09,61108,
2002-10,57363,
2002-11,65619,
2002-12,58035,
2003-01,52234,
2003-02,49451,
2003-03,48616,
2003-04,58695,
2003-05,61727,
2003-06,69006,
2003-07,70531,
2003-08,68117,
2003-09,69083,
2003-10,75753,
2003-11,76970,
2003-12,80789,
2004-01,81205,
2004-02,83541,
2004-03,80837,
2004-04,83771,
2004-05,79808,
2004-06,86351,
2004-07,79705,
2004-08,76890,
2004-09,81477,
2004-10,81288,
2004-11,85951,
2004-12,86462,
2005-01,89483,
2005-02,92649,
2005-03,93356,
2005-04,88451,
2005-05,88644,
2005-06,90909,
2005-07,95473,
2005-08,99332,
2005-09,104284,
2005-10,102556,
2005-11,110430,
2005-12,111519,
2006-01,119242,
2006-02,116685,
2006-03,127590,
2006-04,129392,
2006-05,120154,
2006-06,118982,
2006-07,124010,
2006-08,119297,
2006-09,124380,
2006-10,126624,
2006-11,124981,
2006-12,127815,
2007-01,137998,
2007-02,133863,
2007-03,141454,
2007-04,151744,
2007-05,152853,
2007-06,146161,
2007-07,143263,
2007-08,130243,
2007-09,129349,
2007-10,133308,
2007-11,130916,
2007-12,130070,
2008-01,114387,
2008-02,115657,
2008-03,112578,
2008-04,118517,
2008-05,114779,
2008-06,102999,
2008-07,116066,
2008-08,93538,
2008-09,82528,
2008-10,34286,
2008-11,32570,
2008-12,33128,
2009-01,25039,
2009-02,23326,
2009-03,32389,
2009-04,42146,
2009-05,46228,
2009-06,44878,
2009-07,47550,
2009-08,51632,
2009-09,57681,
2009-10,54039,
2009-11,51748,
2009-12,52447,
2010-01,49023,
2010-02,49872,
2010-03,57802,
2010-04,55516,
2010-05,52008,
2010-06,50605,
2010-07,56471,
2010-08,52470,
2010-09,47388,
2010-10,61534,
2010-11,56788,
2010-12,57466,
2011-01,62254,
2011-02,64443,
2011-03,58960,
2011-04,59870,
2011-05,60451,
2011-06,65684,
2011-07,61024,
2011-08,48663,
2011-09,46006,
2011-10,50138,
2011-11,45136,
2011-12,46349,
2012-01,53257,
2012-02,56576,
2012-03,59037,
2012-04,53619,
2012-05,47590,
2012-06,47336,
2012-07,43824,
2012-08,46681,
2012-09,50207,
2012-10,55514,
2012-11,53898,
2012-12,53235,
2013-01,59369,
2013-02,55351,
2013-03,49879,
2013-04,52954,
2013-05,59975,
2013-06,55005,
2013-07,56253,
2013-08,58653,
2013-09,58966,
2013-10,63115,
2013-11,64603,
2013-12,65037,
2014-01,66678,
2014-02,67154,
2014-03,64772,
2014-04,63989,
2014-05,60412,
2014-06,65408,
2014-07,64658,
2014-08,65590,
2014-09,68420,
2014-10,64783,
2014-11,67412,
2014-12,63676,
