"",BBSF2.M.1.P.00000.SON01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Number outstanding,
unit,Stueck (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:31,
2009-09,11151,
2009-10,11016,
2009-11,17526,
2009-12,17282,
2010-01,12060,
2010-02,12936,
2010-03,13958,
2010-04,14604,
2010-05,15513,
2010-06,16301,
2010-07,17197,
2010-08,18480,
2010-09,18726,
2010-10,19328,
2010-11,23353,
2010-12,18603,
2011-01,19590,
2011-02,19886,
2011-03,20530,
2011-04,21075,
2011-05,21345,
2011-06,21162,
2011-07,21142,
2011-08,21977,
2011-09,21974,
2011-10,21816,
2011-11,30290,
2011-12,35755,
2012-01,35314,
2012-02,34664,
2012-03,34016,
2012-04,33781,
2012-05,36979,
2012-06,37670,
2012-07,36998,
2012-08,36279,
2012-09,35885,
2012-10,35643,
2012-11,43895,
2012-12,33839,
2013-01,33160,
2013-02,32597,
2013-03,32225,
2013-04,31837,
2013-05,31604,
2013-06,31407,
2013-07,31435,
2013-08,31355,
2013-09,31372,
2013-10,35543,
2013-11,34533,
2013-12,35473,
2014-01,35321,
2014-02,35274,
2014-03,35455,
2014-04,35392,
2014-05,36044,
2014-06,35027,
2014-07,35233,
2014-08,35310,
2014-09,34336,
2014-10,34814,
2014-11,14919,
