"",BBEE1.M.I8.AAA.XZE021.A.AABAN.M00,BBEE1.M.I8.AAA.XZE021.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-38 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:21,
1993-01,72.2141,
1993-02,72.5826,
1993-03,72.3793,
1993-04,73.9513,
1993-05,74.5313,
1993-06,73.8338,
1993-07,72.2555,
1993-08,72.2336,
1993-09,75.0473,
1993-10,75.5382,
1993-11,74.6227,
1993-12,74.9785,
1994-01,76.1860,
1994-02,77.4359,
1994-03,79.2797,
1994-04,80.8211,
1994-05,82.7500,
1994-06,83.4039,
1994-07,86.0804,
1994-08,86.3659,
1994-09,86.7634,
1994-10,88.1805,
1994-11,87.4984,
1994-12,86.7862,
1995-01,88.8467,
1995-02,89.9816,
1995-03,92.2352,
1995-04,92.6979,
1995-05,91.7081,
1995-06,92.6564,
1995-07,93.9505,
1995-08,93.0914,
1995-09,92.8579,
1995-10,94.5376,
1995-11,95.1279,
1995-12,94.6664,
1996-01,94.7309,
1996-02,94.8260,
1996-03,94.7976,
1996-04,94.3873,
1996-05,93.8548,
1996-06,94.4545,
1996-07,95.6432,
1996-08,96.6495,
1996-09,96.1586,
1996-10,95.5121,
1996-11,96.0080,
1996-12,95.0188,
1997-01,93.6542,
1997-02,91.9364,
1997-03,91.2065,
1997-04,91.0083,
1997-05,90.8064,
1997-06,89.6677,
1997-07,87.6113,
1997-08,87.2422,
1997-09,89.8042,
1997-10,91.4153,
1997-11,93.0237,
1997-12,93.8101,
1998-01,93.9270,
1998-02,93.0550,
1998-03,92.2428,
1998-04,92.7133,
1998-05,95.3231,
1998-06,95.8595,
1998-07,95.7636,
1998-08,97.2131,
1998-09,100.9958,
1998-10,103.2891,
1998-11,101.1068,
1998-12,101.7705,
1999-01,101.4550,
1999-02,100.0370,
1999-03,98.6554,
1999-04,97.2275,
1999-05,96.8026,
1999-06,94.9793,
1999-07,94.9304,
1999-08,96.2682,
1999-09,95.2025,
1999-10,96.4975,
1999-11,94.0434,
1999-12,92.2241,
2000-01,92.3167,
2000-02,91.0119,
2000-03,89.5436,
2000-04,88.2793,
2000-05,86.5622,
2000-06,89.7944,
2000-07,89.1981,
2000-08,86.7460,
2000-09,85.0427,
2000-10,84.0225,
2000-11,84.7949,
2000-12,87.8420,
2001-01,91.3310,
2001-02,90.5886,
2001-03,90.8817,
2001-04,90.4546,
2001-05,88.7656,
2001-06,87.4137,
2001-07,88.6627,
2001-08,91.3382,
2001-09,92.2453,
2001-10,92.2939,
2001-11,90.7148,
2001-12,91.2068,
2002-01,90.9025,
2002-02,90.1586,
2002-03,90.3129,
2002-04,90.6440,
2002-05,92.7618,
2002-06,95.5990,
2002-07,97.7044,
2002-08,97.1424,
2002-09,97.4365,
2002-10,97.8822,
2002-11,98.6702,
2002-12,99.6788,
2003-01,102.6291,
2003-02,104.0746,
2003-03,104.7759,
2003-04,104.9223,
2003-05,108.7746,
2003-06,109.2001,
2003-07,107.6213,
2003-08,106.3388,
2003-09,106.2959,
2003-10,108.4539,
2003-11,108.4976,
2003-12,111.7782,
2004-01,113.0521,
2004-02,112.9356,
2004-03,110.6673,
2004-04,108.8441,
2004-05,110.0792,
2004-06,110.1299,
2004-07,110.5947,
2004-08,110.4309,
2004-09,110.7726,
2004-10,112.0040,
2004-11,113.5263,
2004-12,114.7435,
2005-01,113.1785,
2005-02,112.0512,
2005-03,112.9930,
2005-04,112.0846,
2005-05,110.8689,
2005-06,107.7844,
2005-07,107.9416,
2005-08,108.5023,
2005-09,107.9620,
2005-10,107.4438,
2005-11,106.4681,
2005-12,106.5050,
2006-01,107.1395,
2006-02,106.0558,
2006-03,106.9170,
2006-04,108.1056,
2006-05,110.0371,
2006-06,110.7983,
2006-07,110.8482,
2006-08,110.8509,
2006-09,110.6525,
2006-10,109.8770,
2006-11,110.5596,
2006-12,111.6427,
2007-01,110.8252,
2007-02,111.1173,
2007-03,111.9575,
2007-04,112.7124,
2007-05,112.4518,
2007-06,111.9191,
2007-07,112.5246,
2007-08,112.4928,
2007-09,113.3573,
2007-10,114.1542,
2007-11,115.9964,
2007-12,115.5644,
2008-01,116.1465,
2008-02,115.8964,
2008-03,119.2147,
2008-04,120.4097,
2008-05,119.5011,
2008-06,119.3261,
2008-07,119.4347,
2008-08,116.6324,
2008-09,115.2010,
2008-10,112.8612,
2008-11,111.9167,
2008-12,117.7289,
2009-01,117.8844,
2009-02,117.2539,
2009-03,119.7668,
2009-04,118.4096,
2009-05,118.8201,
2009-06,120.2259,
2009-07,119.9602,
2009-08,120.0454,
2009-09,121.3495,
2009-10,122.2923,
2009-11,122.1882,
2009-12,121.0269,
2010-01,118.4764,
2010-02,115.5861,
2010-03,114.3925,
2010-04,112.6874,
2010-05,109.2340,
2010-06,107.1105,
2010-07,109.3414,
2010-08,109.0021,
2010-09,109.4219,
2010-10,113.1020,
2010-11,111.8666,
2010-12,109.5177,
2011-01,109.4610,
2011-02,110.7569,
2011-03,112.5159,
2011-04,114.2136,
2011-05,113.4231,
2011-06,113.6224,
2011-07,112.5362,
2011-08,113.1070,
2011-09,112.2400,
2011-10,112.7606,
2011-11,112.2568,
2011-12,110.4188,
2012-01,108.1673,
2012-02,108.5316,
2012-03,108.8132,
2012-04,108.6011,
2012-05,107.4222,
2012-06,106.7444,
2012-07,104.4276,
2012-08,104.5362,
2012-09,106.6877,
2012-10,107.3874,
2012-11,106.8172,
2012-12,108.3742,
2013-01,109.9805,
2013-02,111.2525,
2013-03,109.5873,
2013-04,109.8610,
2013-05,110.0873,
2013-06,112.0871,
2013-07,112.1291,
2013-08,113.5364,
2013-09,113.4419,
2013-10,114.3211,
2013-11,114.2856,
2013-12,115.8892,
2014-01,116.0103,
2014-02,116.4221,
2014-03,117.6000,
2014-04,117.1174,
2014-05,116.1848,
2014-06,115.2064,
2014-07,114.7315,
2014-08,114.1301,
2014-09,112.5111,
2014-10,112.0354,
2014-11,112.2734,
2014-12,113.4320,
2015-01,109.3347,
"",Source: European Central Bank: EXR.M.E7.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Malaysia, Mexico, Morocco, New Zealand, Norway, Philippines, Poland, Romania, the Russian Federation, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, the United Kingdom, the United States and Venezuela.                                   The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
