"",BBK01.OEAC60P,BBK01.OEAC60P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:12,
2002-01,0.451,
2002-04,0.451,
2002-07,0.447,
2002-10,0.445,
2003-01,0.579,
2003-04,0.574,
2003-07,0.550,
2003-10,0.550,
2004-01,0.543,
2004-04,0.545,
2004-07,0.543,
2004-10,0.539,
2005-01,0.544,
2005-04,0.544,
2005-07,0.539,
2005-10,0.559,
2006-01,0.580,
2006-04,0.578,
2006-07,0.578,
2006-10,0.583,
2007-01,0.584,
2007-04,0.588,
2007-07,0.605,
2007-10,0.619,
2008-01,0.610,
2008-04,0.613,
2008-07,0.621,
2008-10,0.650,
2009-01,0.657,
2009-04,0.662,
2009-07,0.685,
2009-10,0.697,
2010-01,0.697,
2010-04,0.715,
2010-07,0.691,
2010-10,0.686,
2011-01,0.674,
2011-04,0.669,
2011-07,0.668,
2011-10,0.661,
2012-01,0.640,
2012-04,0.641,
2012-07,0.635,
2012-10,0.623,
2013-01,0.616,
2013-04,0.614,
2013-07,0.608,
2013-10,0.605,
2014-01,0.599,
2014-04,0.590,
2014-07,0.584,
