"",BBFB1.Q.N.DE.NL.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:55,
1999-01,496.786,
1999-04,526.986,
1999-07,657.543,
1999-10,403.279,
2000-01,512.701,
2000-04,543.867,
2000-07,678.609,
2000-10,416.198,
2001-01,477.393,
2001-04,506.412,
2001-07,631.874,
2001-10,387.535,
2002-01,399.997,
2002-04,739.676,
2002-07,728.829,
2002-10,543.584,
2003-01,572.551,
2003-04,820.510,
2003-07,900.203,
2003-10,574.763,
2004-01,542.374,
2004-04,807.742,
2004-07,781.807,
2004-10,575.844,
2005-01,595.170,
2005-04,694.520,
2005-07,1093.732,
2005-10,824.566,
2006-01,613.902,
2006-04,813.807,
2006-07,964.888,
2006-10,531.923,
2007-01,519.230,
2007-04,730.701,
2007-07,783.746,
2007-10,642.963,
2008-01,604.192,
2008-04,680.428,
2008-07,926.303,
2008-10,683.821,
2009-01,547.057,
2009-04,832.175,
2009-07,968.068,
2009-10,744.001,
2010-01,481.722,
2010-04,835.407,
2010-07,917.135,
2010-10,757.507,
2011-01,533.683,
2011-04,796.385,
2011-07,981.277,
2011-10,875.447,
2012-01,558.539,
2012-04,809.766,
2012-07,1167.405,
2012-10,755.514,
2013-01,666.557,
2013-04,749.257,
2013-07,1398.257,
2013-10,880.018,
2014-01,629.493,Provisional value
2014-04,859.667,Provisional value
2014-07,1339.532,Provisional value
2014-10,843.804,Provisional value
