"",BBK01.OEXK04M,BBK01.OEXK04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:19,
2002-01,0.546,
2002-04,0.556,
2002-07,0.544,
2002-10,0.557,
2003-01,0.553,
2003-04,0.421,
2003-07,0.402,
2003-10,0.357,
2004-01,0.395,
2004-04,0.320,
2004-07,0.316,
2004-10,0.251,
2005-01,0.259,
2005-04,0.207,
2005-07,0.193,
2005-10,0.208,
2006-01,0.288,
2006-04,0.298,
2006-07,0.379,
2006-10,0.441,
2007-01,0.467,
2007-04,0.477,
2007-07,0.538,
2007-10,0.608,
2008-01,0.747,
2008-04,0.703,
2008-07,0.772,
2008-10,0.842,
2009-01,0.685,
2009-04,0.627,
2009-07,0.469,
2009-10,0.345,
2010-01,0.238,
2010-04,0.140,
2010-07,0.118,
2010-10,0.216,
2011-01,0.133,
2011-04,0.174,
2011-07,0.199,
2011-10,0.202,
2012-01,0.210,
2012-04,0.177,
2012-07,0.187,
2012-10,0.139,
2013-01,0.124,
2013-04,0.110,
2013-07,0.115,
2013-10,0.096,
2014-01,0.060,
2014-04,0.067,
2014-07,0.085,
