"",BBK01.OELB08N,BBK01.OELB08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:19,
2002-01,57.005,
2002-04,57.831,
2002-07,58.653,
2002-10,59.838,
2003-01,60.283,
2003-04,61.263,
2003-07,62.266,
2003-10,63.537,
2004-01,64.321,
2004-04,65.259,
2004-07,66.096,
2004-10,67.443,
2005-01,67.823,
2005-04,68.554,
2005-07,69.364,
2005-10,70.559,
2006-01,71.121,
2006-04,71.925,
2006-07,72.492,
2006-10,73.184,
2007-01,73.559,
2007-04,74.098,
2007-07,74.925,
2007-10,75.547,
2008-01,76.088,
2008-04,76.904,
2008-07,77.726,
2008-10,78.414,
2009-01,78.886,
2009-04,79.740,
2009-07,80.771,
2009-10,81.862,
2010-01,82.570,
2010-04,83.955,
2010-07,85.186,
2010-10,86.643,
2011-01,87.433,
2011-04,88.473,
2011-07,89.543,
2011-10,90.753,
2012-01,91.457,
2012-04,75.677,
2012-07,76.669,
2012-10,77.774,
2013-01,78.202,
2013-04,79.129,
2013-07,80.540,
2013-10,81.540,
2014-01,82.391,
2014-04,83.445,
2014-07,84.420,
