"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.IT.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.IT.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Italy,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:08,
2009-09,35904,
2009-10,36924,
2009-11,37354,
2009-12,38198,
2010-01,38236,
2010-02,38019,
2010-03,38452,
2010-04,36802,
2010-05,35899,
2010-06,35532,
2010-07,37163,
2010-08,37738,
2010-09,38645,
2010-10,39849,
2010-11,37495,
2010-12,36610,
2011-01,37346,
2011-02,38452,
2011-03,39041,
2011-04,40041,
2011-05,39427,
2011-06,38109,
2011-07,35005,
2011-08,33388,
2011-09,31120,
2011-10,30353,
2011-11,28407,
2011-12,29815,
2012-01,30824,
2012-02,32936,
2012-03,33417,
2012-04,32913,
2012-05,32207,
2012-06,32101,
2012-07,31629,
2012-08,32212,
2012-09,33385,
2012-10,35022,
2012-11,38680,
2012-12,40500,
2013-01,42903,
2013-02,42607,
2013-03,43494,
2013-04,45954,
2013-05,45683,
2013-06,44610,
2013-07,45267,
2013-08,45406,
2013-09,45937,
2013-10,45839,
2013-11,45321,
2013-12,45179,
2014-01,46980,
2014-02,47891,
2014-03,49047,
2014-04,50060,
2014-05,50318,
2014-06,49750,
2014-07,50273,
2014-08,50934,
2014-09,51149,
2014-10,50494,
2014-11,51455,
