"",BBAI3.Q.DE.N.V.LE.F.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:07,
2005-10,248562,
2006-01,252730,
2006-04,257160,
2006-07,263348,
2006-10,269371,
2007-01,274384,
2007-04,280997,
2007-07,288630,
2007-10,300898,
2008-01,305007,
2008-04,307011,
2008-07,309705,
2008-10,311190,
2009-01,317555,
2009-04,323359,
2009-07,330592,
2009-10,334794,
2010-01,343887,
2010-04,350247,
2010-07,357390,
2010-10,393580,
2011-01,399358,
2011-04,402908,
2011-07,406319,
2011-10,411135,
2012-01,419514,
2012-04,422636,
2012-07,427970,
2012-10,436148,
2013-01,443562,
2013-04,447628,
2013-07,453142,
2013-10,469888,
2014-01,473709,
2014-04,480294,
2014-07,484995,
