"",BBK01.CEHP01,BBK01.CEHP01_FLAGS
"",Time deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:17,
1991-01,2.3,
1991-04,1.1,
1991-07,0.5,
1991-10,3.8,
1992-01,2.1,
1992-04,5.4,
1992-07,-0.4,
1992-10,5.6,
1993-01,3.7,
1993-04,-1.5,
1993-07,4.8,
1993-10,4.3,
1994-01,1.3,
1994-04,-2.7,
1994-07,-1.9,
1994-10,16.1,
1995-01,-0.2,
1995-04,-1.5,
1995-07,-0.9,
1995-10,-5.2,
1996-01,-10.4,
1996-04,-6.7,
1996-07,0.9,
1996-10,15.3,
1997-01,-0.8,
1997-04,-7.9,
1997-07,2.1,
1997-10,-4.5,
1998-01,2.3,
1998-04,-0.1,
1998-07,-5.7,
1998-10,-4.9,
1999-01,-2.3,
1999-04,-0.1,
1999-07,3.2,
1999-10,0.4,
2000-01,9.9,
2000-04,-2.3,
2000-07,0.6,
2000-10,-11.4,
2001-01,7.5,
2001-04,-5.8,
2001-07,1.4,
2001-10,14.1,
2002-01,-9.3,
2002-04,3.5,
2002-07,8.0,
2002-10,7.2,
2003-01,2.3,
2003-04,-0.9,
2003-07,7.6,
2003-10,3.6,
2004-01,-4.6,
2004-04,-5.2,
2004-07,13.9,
2004-10,7.5,
2005-01,-6.9,
2005-04,5.8,
2005-07,6.4,
2005-10,-0.5,
2006-01,0.5,
2006-04,8.1,
2006-07,-5.4,
2006-10,3.5,
2007-01,-1.6,
2007-04,2.8,
2007-07,19.7,
2007-10,8.6,
2008-01,-1.7,
2008-04,-4.4,
2008-07,5.0,
2008-10,-12.6,
2009-01,-6.9,
2009-04,-7.2,
2009-07,-5.9,
2009-10,-21.0,
2010-01,6.1,
2010-04,-22.4,
2010-07,19.6,
2010-10,8.0,
2011-01,8.1,
2011-04,-13.7,
2011-07,-23.7,
2011-10,5.5,
2012-01,-16.2,
2012-04,-25.5,
2012-07,-14.6,
2012-10,4.8,
2013-01,-17.9,
2013-04,-24.2,
2013-07,29.2,
2013-10,4.0,
2014-01,-22.0,
