"",BBSF2.M.1.T.00000.DAC01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds-of-funds / Net asset value,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:21,
2009-09,31268,
2009-10,31897,
2009-11,33543,
2009-12,34800,
2010-01,34911,
2010-02,35320,
2010-03,36531,
2010-04,37177,
2010-05,36641,
2010-06,36264,
2010-07,37150,
2010-08,41394,
2010-09,42402,
2010-10,43083,
2010-11,43669,
2010-12,44728,
2011-01,44814,
2011-02,45087,
2011-03,45101,
2011-04,45621,
2011-05,45603,
2011-06,45381,
2011-07,46546,
2011-08,45079,
2011-09,45068,
2011-10,45802,
2011-11,45026,
2011-12,45976,
2012-01,47150,
2012-02,48035,
2012-03,48322,
2012-04,48463,
2012-05,47922,
2012-06,48013,
2012-07,58206,
2012-08,58194,
2012-09,58686,
2012-10,59209,
2012-11,59824,
2012-12,60052,
2013-01,61413,
2013-02,61871,
2013-03,62572,
2013-04,63715,
2013-05,64032,
2013-06,62117,
2013-07,62869,
2013-08,62332,
2013-09,63447,
2013-10,64966,
2013-11,65334,
2013-12,66233,
2014-01,66450,
2014-02,67202,
2014-03,68185,
2014-04,68777,
2014-05,70107,
2014-06,71194,
2014-07,71948,
2014-08,72968,
2014-09,73077,
2014-10,73465,
2014-11,75075,
