"",BBK01.OELB20J,BBK01.OELB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:45,
2002-01,0.910,
2002-04,0.928,
2002-07,0.942,
2002-10,0.955,
2003-01,0.960,
2003-04,0.974,
2003-07,0.989,
2003-10,1.012,
2004-01,1.023,
2004-04,1.033,
2004-07,1.054,
2004-10,1.121,
2005-01,1.120,
2005-04,1.130,
2005-07,1.151,
2005-10,1.161,
2006-01,1.187,
2006-04,1.193,
2006-07,1.198,
2006-10,1.150,
2007-01,1.151,
2007-04,1.144,
2007-07,1.141,
2007-10,1.144,
2008-01,1.140,
2008-04,1.144,
2008-07,1.151,
2008-10,1.158,
2009-01,1.155,
2009-04,1.165,
2009-07,1.177,
2009-10,1.181,
2010-01,1.176,
2010-04,1.180,
2010-07,1.192,
2010-10,1.208,
2011-01,1.192,
2011-04,1.199,
2011-07,1.213,
2011-10,1.224,
2012-01,1.226,
2012-04,1.305,
2012-07,1.311,
2012-10,1.323,
2013-01,1.327,
2013-04,1.341,
2013-07,1.358,
2013-10,1.373,
2014-01,1.152,
2014-04,1.167,
2014-07,1.181,
