"",BBK01.OUH007,BBK01.OUH007_FLAGS
"",Other assets / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:14:45,
1950-06,0.251,
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,-,Nothing exists
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,0.257,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,0.291,
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,-,Nothing exists
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,0.301,
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,0.311,
1952-07,-,Nothing exists
1952-08,-,Nothing exists
1952-09,-,Nothing exists
1952-10,-,Nothing exists
1952-11,-,Nothing exists
1952-12,0.355,
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,-,Nothing exists
1953-04,-,Nothing exists
1953-05,-,Nothing exists
1953-06,0.401,
1953-07,-,Nothing exists
1953-08,-,Nothing exists
1953-09,-,Nothing exists
1953-10,-,Nothing exists
1953-11,-,Nothing exists
1953-12,0.399,
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,-,Nothing exists
1954-04,-,Nothing exists
1954-05,-,Nothing exists
1954-06,0.411,
1954-07,-,Nothing exists
1954-08,-,Nothing exists
1954-09,-,Nothing exists
1954-10,-,Nothing exists
1954-11,-,Nothing exists
1954-12,0.450,
1955-01,-,Nothing exists
1955-02,-,Nothing exists
1955-03,-,Nothing exists
1955-04,-,Nothing exists
1955-05,-,Nothing exists
1955-06,0.492,
1955-07,-,Nothing exists
1955-08,-,Nothing exists
1955-09,-,Nothing exists
1955-10,-,Nothing exists
1955-11,-,Nothing exists
1955-12,0.546,
1956-01,-,Nothing exists
1956-02,-,Nothing exists
1956-03,-,Nothing exists
1956-04,-,Nothing exists
1956-05,-,Nothing exists
1956-06,0.574,
1956-07,-,Nothing exists
1956-08,-,Nothing exists
1956-09,-,Nothing exists
1956-10,-,Nothing exists
1956-11,-,Nothing exists
1956-12,0.614,
1957-01,-,Nothing exists
1957-02,-,Nothing exists
1957-03,-,Nothing exists
1957-04,-,Nothing exists
1957-05,-,Nothing exists
1957-06,0.685,
1957-07,-,Nothing exists
1957-08,-,Nothing exists
1957-09,-,Nothing exists
1957-10,-,Nothing exists
1957-11,-,Nothing exists
1957-12,0.713,
1958-01,-,Nothing exists
1958-02,-,Nothing exists
1958-03,-,Nothing exists
1958-04,-,Nothing exists
1958-05,-,Nothing exists
1958-06,0.716,
1958-07,-,Nothing exists
1958-08,-,Nothing exists
1958-09,-,Nothing exists
1958-10,-,Nothing exists
1958-11,-,Nothing exists
1958-12,0.797,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.800,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,0.896,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,0.902,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,0.983,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,1.024,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,1.095,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,1.106,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,1.144,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,1.180,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,1.194,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,1.207,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,1.293,
1965-01,1.324,
1965-02,1.369,
1965-03,1.340,
1965-04,1.353,
1965-05,1.331,
1965-06,1.373,
1965-07,1.368,
1965-08,1.369,
1965-09,1.409,
1965-10,1.443,
1965-11,1.454,
1965-12,1.473,
1966-01,1.492,
1966-02,1.548,
1966-03,1.523,
1966-04,1.543,
1966-05,1.525,
1966-06,1.550,
1966-07,1.548,
1966-08,1.565,
1966-09,1.621,
1966-10,1.627,
1966-11,1.683,
1966-12,1.691,
1967-01,1.687,
1967-02,1.715,
1967-03,1.688,
1967-04,1.722,
1967-05,1.693,
1967-06,1.715,
1967-07,1.693,
1967-08,1.719,
1967-09,1.782,
1967-10,1.787,
1967-11,1.821,
1967-12,1.925,
1968-01,1.993,
1968-02,2.023,
1968-03,2.016,
1968-04,2.021,
1968-05,1.978,
1968-06,2.063,
1968-07,2.010,
1968-08,2.048,
1968-09,2.104,
1968-10,2.122,
1968-11,2.194,
1968-12,2.179,
1969-01,2.266,
1969-02,2.302,
1969-03,2.294,
1969-04,2.262,
1969-05,2.257,
1969-06,2.274,
1969-07,2.290,
1969-08,2.364,
1969-09,2.415,
1969-10,2.437,
1969-11,2.473,
1969-12,2.531,
1970-01,2.641,
1970-02,2.696,
1970-03,2.673,
1970-04,2.662,
1970-05,2.660,
1970-06,2.686,
1970-07,2.737,
1970-08,2.751,
1970-09,2.818,
1970-10,2.840,
1970-11,2.872,
1970-12,2.922,
1971-01,3.174,
1971-02,3.260,
1971-03,3.132,
1971-04,3.162,
1971-05,3.155,
1971-06,3.164,
1971-07,3.199,
1971-08,3.154,
1971-09,3.206,
1971-10,3.205,
1971-11,3.289,
1971-12,3.319,
1972-01,3.522,
1972-02,3.519,
1972-03,3.498,
1972-04,3.446,
1972-05,3.393,
1972-06,3.422,
1972-07,3.446,
1972-08,3.473,
1972-09,3.527,
1972-10,3.520,
1972-11,3.581,
1972-12,3.787,
1973-01,3.856,
1973-02,3.900,
1973-03,3.796,
1973-04,3.780,
1973-05,3.797,
1973-06,3.854,
1973-07,3.861,
1973-08,3.900,
1973-09,4.027,
1973-10,4.060,
1973-11,4.125,
1973-12,4.388,
1974-01,4.623,
1974-02,4.716,
1974-03,4.476,
1974-04,4.436,
1974-05,4.470,
1974-06,4.503,
1974-07,4.552,
1974-08,4.610,
1974-09,4.739,
1974-10,4.725,
1974-11,4.809,
1974-12,5.188,
1975-01,5.530,
1975-02,5.633,
1975-03,5.307,
1975-04,5.254,
1975-05,5.217,
1975-06,5.278,
1975-07,5.336,
1975-08,5.391,
1975-09,5.449,
1975-10,5.438,
1975-11,5.548,
1975-12,5.982,
1976-01,6.308,
1976-02,6.430,
1976-03,6.017,
1976-04,5.913,
1976-05,5.871,
1976-06,5.913,
1976-07,5.986,
1976-08,6.050,
1976-09,6.162,
1976-10,6.212,
1976-11,6.305,
1976-12,6.808,
1977-01,7.342,
1977-02,7.317,
1977-03,6.826,
1977-04,6.785,
1977-05,6.791,
1977-06,6.842,
1977-07,7.097,
1977-08,7.088,
1977-09,7.007,
1977-10,7.031,
1977-11,7.131,
1977-12,7.719,
1978-01,8.058,
1978-02,7.974,
1978-03,7.407,
1978-04,7.196,
1978-05,7.188,
1978-06,7.178,
1978-07,7.297,
1978-08,7.238,
1978-09,7.375,
1978-10,7.464,
1978-11,7.538,
1978-12,8.136,
1979-01,8.141,
1979-02,8.125,
1979-03,7.678,
1979-04,7.569,
1979-05,7.591,
1979-06,7.668,
1979-07,7.802,
1979-08,7.944,
1979-09,8.215,
1979-10,8.174,
1979-11,8.439,
1979-12,9.043,
1980-01,9.385,
1980-02,9.415,
1980-03,9.018,
1980-04,8.965,
1980-05,9.035,
1980-06,9.232,
1980-07,9.238,
1980-08,9.279,
1980-09,9.537,
1980-10,9.482,
1980-11,9.761,
1980-12,10.158,
1981-01,10.394,
1981-02,10.422,
1981-03,9.807,
1981-04,9.657,
1981-05,9.734,
1981-06,9.821,
1981-07,9.942,
1981-08,10.091,
1981-09,10.189,
1981-10,10.237,
1981-11,10.525,
1981-12,11.101,
1982-01,11.446,
1982-02,11.337,
1982-03,10.552,
1982-04,10.272,
1982-05,10.307,
1982-06,10.379,
1982-07,10.467,
1982-08,10.489,
1982-09,10.614,
1982-10,10.601,
1982-11,10.841,
1982-12,11.564,
1983-01,11.863,
1983-02,11.713,
1983-03,10.581,
1983-04,10.320,
1983-05,10.366,
1983-06,10.483,
1983-07,10.703,
1983-08,10.742,
1983-09,10.941,
1983-10,11.017,
1983-11,11.237,
1983-12,12.246,
1984-01,12.403,
1984-02,12.335,
1984-03,11.411,
1984-04,11.178,
1984-05,11.259,
1984-06,11.396,
1984-07,11.463,
1984-08,11.571,
1984-09,11.853,
1984-10,11.922,
1984-11,12.122,
1984-12,13.322,
1985-01,13.131,
1985-02,13.262,
1985-03,12.273,
1985-04,11.960,
1985-05,12.036,
1985-06,12.174,
1985-07,12.344,
1985-08,12.303,
1985-09,12.584,
1985-10,12.599,
1985-11,12.785,
1985-12,13.974,
1986-01,13.857,
1986-02,13.696,
1986-03,12.773,
1986-04,12.411,
1986-05,12.606,
1986-06,12.516,
1986-07,12.626,
1986-08,12.663,
1986-09,12.963,
1986-10,12.913,
1986-11,13.155,
1986-12,14.291,
1987-01,14.081,
1987-02,13.871,
1987-03,12.750,
1987-04,12.428,
1987-05,12.526,
1987-06,12.671,
1987-07,12.637,
1987-08,12.789,
1987-09,12.954,
1987-10,13.086,
1987-11,13.282,
1987-12,14.386,
1988-01,14.072,
1988-02,13.952,
1988-03,12.958,
1988-04,12.646,
1988-05,12.760,
1988-06,12.877,
1988-07,12.763,
1988-08,12.849,
1988-09,12.973,
1988-10,13.111,
1988-11,13.347,
1988-12,14.324,
1989-01,14.008,
1989-02,13.911,
1989-03,12.954,
1989-04,12.671,
1989-05,12.816,
1989-06,12.693,
1989-07,12.861,
1989-08,12.844,
1989-09,12.966,
1989-10,13.227,
1989-11,13.500,
1989-12,14.680,
1990-01,14.749,
1990-02,15.014,
1990-03,14.168,
1990-04,13.973,
1990-05,13.851,
1990-06,27.959,
1990-07,29.063,
1990-08,28.912,
1990-09,29.300,
1990-10,29.264,
1990-11,30.368,
1990-12,32.935,
1991-01,33.166,
1991-02,33.369,
1991-03,32.534,
1991-04,32.870,
1991-05,32.876,
1991-06,33.189,
1991-07,33.270,
1991-08,33.403,
1991-09,33.765,
1991-10,33.711,
1991-11,33.942,
1991-12,35.770,
1992-01,35.762,
1992-02,35.147,
1992-03,32.120,
1992-04,31.999,
1992-05,32.083,
1992-06,32.180,
1992-07,32.238,
1992-08,32.640,
1992-09,33.011,
1992-10,25.840,
1992-11,23.513,
1992-12,24.618,
1993-01,24.003,
1993-02,23.548,
1993-03,22.658,
1993-04,22.501,
1993-05,22.484,
1993-06,22.602,
1993-07,18.866,
1993-08,18.215,
1993-09,18.287,
1993-10,18.393,
1993-11,18.609,
1993-12,19.667,
1994-01,18.865,
1994-02,18.365,
1994-03,17.347,
1994-04,16.911,
1994-05,17.059,
1994-06,17.051,
1994-07,16.896,
1994-08,17.125,
1994-09,17.306,
1994-10,17.453,
1994-11,17.875,
1994-12,19.382,
1995-01,18.894,
1995-02,18.638,
1995-03,17.839,
1995-04,17.713,
1995-05,17.560,
1995-06,17.847,
1995-07,17.960,
1995-08,18.123,
1995-09,18.481,
1995-10,18.528,
1995-11,18.842,
1995-12,20.062,
1996-01,19.382,
1996-02,19.082,
1996-03,18.647,
1996-04,18.286,
1996-05,18.265,
1996-06,18.670,
1996-07,18.614,
1996-08,18.881,
1996-09,19.181,
1996-10,19.288,
1996-11,19.666,
1996-12,21.036,
1997-01,20.972,
1997-02,20.473,
1997-03,19.974,
1997-04,19.159,
1997-05,19.141,
1997-06,19.582,
1997-07,19.509,
1997-08,20.125,
1997-09,20.070,
1997-10,20.257,
1997-11,20.649,
1997-12,21.799,
1998-01,21.289,
1998-02,20.968,
1998-03,20.207,
1998-04,20.274,
1998-05,20.184,
1998-06,20.544,
1998-07,20.511,
1998-08,20.725,
1998-09,21.051,
1998-10,21.135,
1998-11,21.572,
1998-12,22.536,
1999-01,26.735,
1999-02,25.871,
1999-03,25.194,
1999-04,24.930,
1999-05,25.238,
1999-06,25.161,
1999-07,25.296,
1999-08,25.270,
1999-09,25.481,
1999-10,25.574,
1999-11,25.792,
1999-12,27.285,
2000-01,26.767,
2000-02,26.383,
2000-03,25.815,
