"",BBK01.OEAH86P,BBK01.OEAH86P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:53,
2002-01,0.112,
2002-04,0.117,
2002-07,0.120,
2002-10,0.125,
2003-01,0.140,
2003-04,0.150,
2003-07,0.134,
2003-10,0.126,
2004-01,0.132,
2004-04,0.133,
2004-07,0.134,
2004-10,0.168,
2005-01,0.171,
2005-04,0.202,
2005-07,0.193,
2005-10,0.169,
2006-01,0.161,
2006-04,0.173,
2006-07,0.174,
2006-10,0.185,
2007-01,0.195,
2007-04,0.199,
2007-07,0.200,
2007-10,0.233,
2008-01,0.205,
2008-04,0.251,
2008-07,0.221,
2008-10,0.265,
2009-01,0.327,
2009-04,0.312,
2009-07,0.313,
2009-10,0.326,
2010-01,0.324,
2010-04,0.345,
2010-07,0.344,
2010-10,0.336,
2011-01,0.509,
2011-04,0.422,
2011-07,0.477,
2011-10,0.551,
2012-01,0.438,
2012-04,0.401,
2012-07,0.513,
2012-10,0.552,
2013-01,0.465,
2013-04,0.485,
2013-07,0.577,
2013-10,0.621,
2014-01,0.568,
2014-04,0.586,
2014-07,0.632,
