"",BBK01.TQ7002,BBK01.TQ7002_FLAGS
"",Deposit takers - Regulatory Tier 1 capital to risk-weighted assets       FSI-I002,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:21,
2005-10,7.96,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,8.22,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,.,No value available
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,9.55,
2009-01,9.69,
2009-04,10.41,
2009-07,10.63,
2009-10,10.84,
2010-01,10.75,
2010-04,10.82,
2010-07,11.20,
2010-10,11.80,
2011-01,12.26,
2011-04,12.57,
2011-07,12.49,
2011-10,12.14,
2012-01,12.54,
2012-04,13.23,
2012-07,13.59,
2012-10,14.18,
2013-01,14.27,
2013-04,15.20,
2013-07,15.34,
2013-10,15.57,
2014-01,14.21,
2014-04,14.99,
2014-07,15.11,
