"",BBK01.OECL08M,BBK01.OECL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:07,
2002-01,1.235,
2002-04,0.986,
2002-07,0.971,
2002-10,1.119,
2003-01,1.118,
2003-04,1.058,
2003-07,1.204,
2003-10,1.183,
2004-01,1.128,
2004-04,1.102,
2004-07,1.395,
2004-10,1.701,
2005-01,5.041,
2005-04,5.030,
2005-07,4.970,
2005-10,4.937,
2006-01,4.878,
2006-04,4.797,
2006-07,4.705,
2006-10,4.683,
2007-01,4.771,
2007-04,4.665,
2007-07,4.492,
2007-10,4.527,
2008-01,4.443,
2008-04,4.609,
2008-07,4.412,
2008-10,4.356,
2009-01,4.491,
2009-04,4.800,
2009-07,5.234,
2009-10,5.346,
2010-01,5.495,
2010-04,5.426,
2010-07,5.475,
2010-10,5.480,
2011-01,5.420,
2011-04,5.283,
2011-07,5.245,
2011-10,5.195,
2012-01,5.659,
2012-04,5.597,
2012-07,5.531,
2012-10,5.534,
2013-01,5.393,
2013-04,5.317,
2013-07,5.138,
2013-10,5.097,
2014-01,5.040,
2014-04,4.917,
2014-07,5.010,
