"",BBDE1.M.DE.Y.AEA1.A2P300000.F.C.I10.L,BBDE1.M.DE.Y.AEA1.A2P300000.F.C.I10.L_FLAGS
"",Orders received / At constant prices / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:39,
1952-01,9.7,
1952-02,10.3,
1952-03,10.0,
1952-04,10.2,
1952-05,10.0,
1952-06,11.8,
1952-07,10.1,
1952-08,11.3,
1952-09,11.1,
1952-10,10.8,
1952-11,11.6,
1952-12,10.7,
1953-01,10.0,
1953-02,10.7,
1953-03,11.0,
1953-04,11.6,
1953-05,12.0,
1953-06,11.5,
1953-07,10.8,
1953-08,11.5,
1953-09,11.9,
1953-10,11.7,
1953-11,12.7,
1953-12,12.2,
1954-01,12.7,
1954-02,13.2,
1954-03,13.3,
1954-04,13.5,
1954-05,14.3,
1954-06,14.5,
1954-07,14.6,
1954-08,14.9,
1954-09,14.6,
1954-10,15.9,
1954-11,15.5,
1954-12,18.0,
1955-01,16.8,
1955-02,16.5,
1955-03,16.7,
1955-04,16.6,
1955-05,16.3,
1955-06,16.0,
1955-07,16.9,
1955-08,17.4,
1955-09,17.3,
1955-10,17.7,
1955-11,17.5,
1955-12,17.8,
1956-01,18.1,
1956-02,17.3,
1956-03,17.9,
1956-04,17.8,
1956-05,17.6,
1956-06,18.0,
1956-07,18.2,
1956-08,17.9,
1956-09,18.0,
1956-10,18.1,
1956-11,18.9,
1956-12,18.6,
1957-01,18.7,
1957-02,18.9,
1957-03,18.4,
1957-04,18.1,
1957-05,18.5,
1957-06,17.9,
1957-07,18.1,
1957-08,18.5,
1957-09,18.3,
1957-10,18.3,
1957-11,17.5,
1957-12,18.3,
1958-01,17.9,
1958-02,17.8,
1958-03,16.9,
1958-04,17.8,
1958-05,17.4,
1958-06,18.4,
1958-07,18.6,
1958-08,17.8,
1958-09,17.7,
1958-10,18.6,
1958-11,18.2,
1958-12,18.8,
1959-01,18.0,
1959-02,19.7,
1959-03,21.4,
1959-04,21.6,
1959-05,21.8,
1959-06,23.0,
1959-07,23.1,
1959-08,22.9,
1959-09,24.0,
1959-10,24.1,
1959-11,24.9,
1959-12,25.9,
1960-01,23.8,
1960-02,24.2,
1960-03,24.6,
1960-04,24.7,
1960-05,25.3,
1960-06,24.8,
1960-07,25.8,
1960-08,27.0,
1960-09,25.9,
1960-10,25.4,
1960-11,25.4,
1960-12,24.8,
1961-01,25.7,
1961-02,25.8,
1961-03,25.5,
1961-04,24.0,
1961-05,24.7,
1961-06,25.1,
1961-07,24.3,
1961-08,25.0,
1961-09,24.0,
1961-10,25.0,
1961-11,25.0,
1961-12,25.6,
1962-01,25.6,
1962-02,24.5,
1962-03,24.8,
1962-04,24.6,
1962-05,24.9,
1962-06,25.2,
1962-07,25.1,
1962-08,25.1,
1962-09,25.3,
1962-10,24.4,
1962-11,25.3,
1962-12,25.1,
1963-01,24.8,
1963-02,23.5,
1963-03,24.8,
1963-04,25.6,
1963-05,26.3,
1963-06,26.3,
1963-07,26.5,
1963-08,27.4,
1963-09,27.0,
1963-10,27.8,
1963-11,28.6,
1963-12,27.0,
1964-01,29.1,
1964-02,30.1,
1964-03,29.3,
1964-04,28.9,
1964-05,29.6,
1964-06,29.7,
1964-07,30.1,
1964-08,29.7,
1964-09,29.5,
1964-10,29.7,
1964-11,30.0,
1964-12,30.6,
1965-01,31.6,
1965-02,30.4,
1965-03,30.5,
1965-04,30.7,
1965-05,30.2,
1965-06,29.9,
1965-07,30.6,
1965-08,30.2,
1965-09,31.8,
1965-10,31.0,
1965-11,30.6,
1965-12,30.9,
1966-01,31.1,
1966-02,30.8,
1966-03,32.2,
1966-04,31.3,
1966-05,30.6,
1966-06,30.9,
1966-07,30.0,
1966-08,29.5,
1966-09,29.8,
1966-10,29.7,
1966-11,28.6,
1966-12,26.9,
1967-01,27.8,
1967-02,28.3,
1967-03,29.2,
1967-04,28.1,
