"",BBK01.CEFZL0,BBK01.CEFZL0_FLAGS
"","Other accounts payable, excluding trade credits and advances  debtor: Pension funds                   creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:09,
1999-01,0.7,
1999-04,0.7,
1999-07,0.7,
1999-10,0.8,
2000-01,0.8,
2000-04,0.8,
2000-07,0.9,
2000-10,0.8,
2001-01,0.8,
2001-04,0.8,
2001-07,0.8,
2001-10,0.7,
2002-01,0.7,
2002-04,0.7,
2002-07,0.7,
2002-10,0.9,
2003-01,0.9,
2003-04,0.9,
2003-07,0.9,
2003-10,1.1,
2004-01,1.1,
2004-04,1.1,
2004-07,1.1,
2004-10,1.2,
2005-01,1.3,
2005-04,1.3,
2005-07,1.3,
2005-10,1.1,
2006-01,1.1,
2006-04,1.1,
2006-07,1.2,
2006-10,1.2,
2007-01,1.2,
2007-04,1.2,
2007-07,1.2,
2007-10,1.2,
2008-01,1.2,
2008-04,1.2,
2008-07,1.2,
2008-10,1.2,
2009-01,1.2,
2009-04,1.2,
2009-07,1.2,
2009-10,1.1,
2010-01,1.1,
2010-04,1.2,
2010-07,1.2,
2010-10,1.2,
2011-01,1.2,
2011-04,1.2,
2011-07,1.3,
2011-10,1.1,
2012-01,1.1,
2012-04,1.1,
2012-07,1.1,
2012-10,1.1,
2013-01,1.2,
2013-04,1.2,
2013-07,1.2,
2013-10,1.2,
2014-01,1.2,
2014-04,1.2,
2014-07,1.2,
