"",BBK01.OEXJ04T,BBK01.OEXJ04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:45,
2002-01,0.278,
2002-04,0.282,
2002-07,0.267,
2002-10,0.255,
2003-01,0.238,
2003-04,0.222,
2003-07,0.193,
2003-10,0.228,
2004-01,0.201,
2004-04,0.198,
2004-07,0.173,
2004-10,0.188,
2005-01,0.169,
2005-04,0.165,
2005-07,0.184,
2005-10,0.183,
2006-01,0.201,
2006-04,0.204,
2006-07,0.220,
2006-10,0.263,
2007-01,0.336,
2007-04,0.340,
2007-07,0.399,
2007-10,0.442,
2008-01,0.510,
2008-04,0.530,
2008-07,0.583,
2008-10,0.471,
2009-01,0.197,
2009-04,0.124,
2009-07,0.087,
2009-10,0.058,
2010-01,0.061,
2010-04,0.061,
2010-07,0.060,
2010-10,0.128,
2011-01,0.071,
2011-04,0.095,
2011-07,0.164,
2011-10,0.414,
2012-01,0.505,
2012-04,0.516,
2012-07,0.555,
2012-10,0.562,
2013-01,0.566,
2013-04,0.544,
2013-07,0.532,
2013-10,0.491,
2014-01,0.432,
2014-04,0.474,
2014-07,0.421,
