"",BBK01.OEAH85P,BBK01.OEAH85P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:53,
2002-01,0.970,
2002-04,0.868,
2002-07,0.991,
2002-10,1.072,
2003-01,1.141,
2003-04,1.242,
2003-07,1.363,
2003-10,1.624,
2004-01,1.403,
2004-04,1.244,
2004-07,1.357,
2004-10,1.336,
2005-01,1.354,
2005-04,1.400,
2005-07,1.328,
2005-10,1.276,
2006-01,1.210,
2006-04,1.203,
2006-07,1.202,
2006-10,1.219,
2007-01,1.267,
2007-04,1.256,
2007-07,1.225,
2007-10,1.328,
2008-01,1.406,
2008-04,1.333,
2008-07,1.366,
2008-10,1.318,
2009-01,1.250,
2009-04,0.788,
2009-07,0.784,
2009-10,0.795,
2010-01,0.794,
2010-04,0.736,
2010-07,0.898,
2010-10,1.027,
2011-01,1.161,
2011-04,1.137,
2011-07,1.370,
2011-10,1.645,
2012-01,1.559,
2012-04,1.901,
2012-07,1.705,
2012-10,1.426,
2013-01,1.309,
2013-04,1.196,
2013-07,1.003,
2013-10,1.045,
2014-01,0.805,
2014-04,0.840,
2014-07,0.892,
