"",BBK01.OEAB16J,BBK01.OEAB16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:53,
2002-01,2.785,
2002-04,2.779,
2002-07,3.179,
2002-10,3.251,
2003-01,3.194,
2003-04,3.111,
2003-07,3.041,
2003-10,3.024,
2004-01,3.006,
2004-04,3.004,
2004-07,2.955,
2004-10,2.938,
2005-01,3.073,
2005-04,3.044,
2005-07,2.990,
2005-10,2.969,
2006-01,2.922,
2006-04,2.985,
2006-07,2.981,
2006-10,2.862,
2007-01,2.809,
2007-04,2.787,
2007-07,2.739,
2007-10,2.719,
2008-01,2.707,
2008-04,2.637,
2008-07,2.326,
2008-10,2.345,
2009-01,2.308,
2009-04,2.289,
2009-07,2.113,
2009-10,2.096,
2010-01,2.045,
2010-04,2.043,
2010-07,2.020,
2010-10,1.998,
2011-01,1.967,
2011-04,1.992,
2011-07,1.969,
2011-10,1.936,
2012-01,1.912,
2012-04,2.298,
2012-07,2.303,
2012-10,2.312,
2013-01,2.319,
2013-04,2.305,
2013-07,2.286,
2013-10,2.253,
2014-01,2.268,
2014-04,2.247,
2014-07,2.308,
