"",BBK01.OEAD15K,BBK01.OEAD15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:37,
2002-01,0.118,
2002-04,0.113,
2002-07,0.102,
2002-10,0.136,
2003-01,0.138,
2003-04,0.134,
2003-07,0.075,
2003-10,0.092,
2004-01,0.075,
2004-04,0.067,
2004-07,0.067,
2004-10,0.065,
2005-01,0.058,
2005-04,0.043,
2005-07,0.074,
2005-10,0.107,
2006-01,0.127,
2006-04,0.114,
2006-07,0.095,
2006-10,0.124,
2007-01,0.108,
2007-04,0.204,
2007-07,0.205,
2007-10,0.186,
2008-01,0.182,
2008-04,0.181,
2008-07,0.171,
2008-10,0.114,
2009-01,0.170,
2009-04,0.105,
2009-07,0.109,
2009-10,0.109,
2010-01,0.113,
2010-04,0.139,
2010-07,0.094,
2010-10,0.126,
2011-01,0.107,
2011-04,0.084,
2011-07,0.085,
2011-10,0.075,
2012-01,0.093,
2012-04,0.093,
2012-07,0.077,
2012-10,0.062,
2013-01,0.094,
2013-04,0.082,
2013-07,0.087,
2013-10,0.083,
2014-01,0.137,
2014-04,0.101,
2014-07,0.105,
