"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CY.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CY.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Cyprus,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:48,
2009-09,183,
2009-10,170,
2009-11,171,
2009-12,172,
2010-01,229,
2010-02,278,
2010-03,271,
2010-04,269,
2010-05,261,
2010-06,266,
2010-07,284,
2010-08,286,
2010-09,279,
2010-10,434,
2010-11,394,
2010-12,391,
2011-01,367,
2011-02,375,
2011-03,363,
2011-04,343,
2011-05,328,
2011-06,296,
2011-07,229,
2011-08,200,
2011-09,216,
2011-10,222,
2011-11,210,
2011-12,191,
2012-01,186,
2012-02,179,
2012-03,159,
2012-04,156,
2012-05,140,
2012-06,131,
2012-07,118,
2012-08,104,
2012-09,107,
2012-10,111,
2012-11,112,
2012-12,115,
2013-01,104,
2013-02,105,
2013-03,66,
2013-04,83,
2013-05,87,
2013-06,57,
2013-07,57,
2013-08,62,
2013-09,64,
2013-10,44,
2013-11,40,
2013-12,43,
2014-01,47,
2014-02,58,
2014-03,60,
2014-04,65,
2014-05,69,
2014-06,82,
2014-07,74,
2014-08,74,
2014-09,80,
2014-10,78,
2014-11,80,
