"",BBK01.OEYL03V,BBK01.OEYL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:12,
2002-01,0.001,
2002-04,0.002,
2002-07,0.002,
2002-10,0.002,
2003-01,0.001,
2003-04,0.002,
2003-07,0.002,
2003-10,0.002,
2004-01,0.002,
2004-04,0.003,
2004-07,0.003,
2004-10,0.003,
2005-01,0.003,
2005-04,0.004,
2005-07,0.006,
2005-10,0.006,
2006-01,0.016,
2006-04,0.033,
2006-07,0.035,
2006-10,0.035,
2007-01,0.027,
2007-04,0.029,
2007-07,0.029,
2007-10,0.024,
2008-01,0.047,
2008-04,0.018,
2008-07,0.019,
2008-10,0.032,
2009-01,0.016,
2009-04,0.013,
2009-07,0.013,
2009-10,0.144,
2010-01,0.010,
2010-04,0.040,
2010-07,0.030,
2010-10,0.042,
2011-01,0.012,
2011-04,0.012,
2011-07,0.022,
2011-10,0.013,
2012-01,0.010,
2012-04,0.010,
2012-07,0.010,
2012-10,0.035,
2013-01,0.010,
2013-04,0.010,
2013-07,0.010,
2013-10,0.034,
2014-01,0.006,
2014-04,0.006,
2014-07,0.006,
