"",BBK01.OEAE08O,BBK01.OEAE08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:51,
2002-01,0.714,
2002-04,0.959,
2002-07,0.943,
2002-10,0.731,
2003-01,0.685,
2003-04,0.764,
2003-07,0.774,
2003-10,0.786,
2004-01,0.785,
2004-04,0.821,
2004-07,0.860,
2004-10,0.931,
2005-01,0.912,
2005-04,1.021,
2005-07,0.988,
2005-10,0.925,
2006-01,1.001,
2006-04,0.972,
2006-07,0.951,
2006-10,0.966,
2007-01,0.882,
2007-04,0.934,
2007-07,0.780,
2007-10,0.697,
2008-01,0.782,
2008-04,0.769,
2008-07,0.690,
2008-10,0.567,
2009-01,0.550,
2009-04,0.393,
2009-07,0.325,
2009-10,0.285,
2010-01,0.249,
2010-04,0.318,
2010-07,0.294,
2010-10,0.261,
2011-01,0.228,
2011-04,0.239,
2011-07,0.246,
2011-10,0.238,
2012-01,0.232,
2012-04,0.241,
2012-07,0.243,
2012-10,0.243,
2013-01,0.244,
2013-04,0.238,
2013-07,0.229,
2013-10,0.229,
2014-01,0.219,
2014-04,0.215,
2014-07,0.212,
