"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.O.F89.T._T._X.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.O.F89.T._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Liabilities - Positions - Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:30,
1999-10,369,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,354,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,357,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,350,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,348,
2004-01,518,
2004-04,586,
2004-07,417,
2004-10,895,
2005-01,896,
2005-04,890,
2005-07,1193,
2005-10,1381,
2006-01,1410,
2006-04,1466,
2006-07,1524,
2006-10,1524,
2007-01,1564,
2007-04,1580,
2007-07,1570,
2007-10,1598,
2008-01,1594,
2008-04,1556,
2008-07,1551,
2008-10,1609,
2009-01,1614,
2009-04,1614,
2009-07,1614,
2009-10,1615,
2010-01,1612,
2010-04,1586,
2010-07,1580,
2010-10,1551,
2011-01,1535,
2011-04,1525,
2011-07,1524,
2011-10,1449,
2012-01,1449,
2012-04,1450,
2012-07,1402,
2012-10,1386,
2013-01,1359,
2013-04,1357,
2013-07,1382,
2013-10,1393,
2014-01,1393,
2014-04,1393,
2014-07,1393,
