"",BBK01.OELM07G,BBK01.OELM07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:03,
2002-01,0.060,
2002-04,0.058,
2002-07,0.056,
2002-10,0.054,
2003-01,0.051,
2003-04,0.059,
2003-07,0.059,
2003-10,0.060,
2004-01,0.061,
2004-04,0.063,
2004-07,0.062,
2004-10,0.062,
2005-01,0.067,
2005-04,0.070,
2005-07,0.074,
2005-10,0.073,
2006-01,0.072,
2006-04,0.069,
2006-07,0.066,
2006-10,0.053,
2007-01,0.058,
2007-04,0.059,
2007-07,0.054,
2007-10,0.052,
2008-01,0.045,
2008-04,0.036,
2008-07,0.031,
2008-10,0.030,
2009-01,0.044,
2009-04,0.063,
2009-07,0.094,
2009-10,0.125,
2010-01,0.139,
2010-04,0.135,
2010-07,0.132,
2010-10,0.135,
2011-01,0.133,
2011-04,0.130,
2011-07,0.132,
2011-10,0.130,
2012-01,0.134,
2012-04,0.134,
2012-07,0.153,
2012-10,0.193,
2013-01,0.212,
2013-04,0.237,
2013-07,0.262,
2013-10,0.270,
2014-01,0.263,
2014-04,0.244,
2014-07,0.237,
