"",BBK01.OELB07S,BBK01.OELB07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:21,
2002-01,0.164,
2002-04,0.163,
2002-07,0.161,
2002-10,0.157,
2003-01,0.145,
2003-04,0.139,
2003-07,0.138,
2003-10,0.148,
2004-01,0.141,
2004-04,0.136,
2004-07,0.128,
2004-10,0.114,
2005-01,0.113,
2005-04,0.114,
2005-07,0.110,
2005-10,0.107,
2006-01,0.108,
2006-04,0.114,
2006-07,0.112,
2006-10,0.105,
2007-01,0.111,
2007-04,0.110,
2007-07,0.116,
2007-10,0.110,
2008-01,0.106,
2008-04,0.109,
2008-07,0.125,
2008-10,0.116,
2009-01,0.129,
2009-04,0.132,
2009-07,0.174,
2009-10,0.197,
2010-01,0.196,
2010-04,0.191,
2010-07,0.194,
2010-10,0.172,
2011-01,0.175,
2011-04,0.170,
2011-07,0.160,
2011-10,0.188,
2012-01,0.185,
2012-04,0.208,
2012-07,0.199,
2012-10,0.192,
2013-01,0.189,
2013-04,0.195,
2013-07,0.193,
2013-10,0.182,
2014-01,0.175,
2014-04,0.170,
2014-07,0.170,
