"",BBK01.OEYB17T,BBK01.OEYB17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:45,
2002-01,0.027,
2002-04,0.026,
2002-07,0.019,
2002-10,0.025,
2003-01,0.026,
2003-04,0.026,
2003-07,0.028,
2003-10,0.029,
2004-01,0.181,
2004-04,0.183,
2004-07,0.174,
2004-10,0.173,
2005-01,0.175,
2005-04,0.176,
2005-07,0.199,
2005-10,0.200,
2006-01,0.203,
2006-04,0.209,
2006-07,0.216,
2006-10,0.252,
2007-01,0.257,
2007-04,0.258,
2007-07,0.264,
2007-10,0.259,
2008-01,0.261,
2008-04,0.261,
2008-07,0.269,
2008-10,0.269,
2009-01,0.275,
2009-04,0.274,
2009-07,0.277,
2009-10,0.278,
2010-01,0.278,
2010-04,0.277,
2010-07,0.286,
2010-10,0.286,
2011-01,0.289,
2011-04,0.288,
2011-07,0.299,
2011-10,0.304,
2012-01,0.306,
2012-04,0.307,
2012-07,0.309,
2012-10,0.307,
2013-01,0.306,
2013-04,0.303,
2013-07,0.306,
2013-10,0.306,
2014-01,0.299,
2014-04,0.295,
2014-07,0.296,
