"",BBK01.OEBL02Q,BBK01.OEBL02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:09,
2002-01,3.025,
2002-04,3.027,
2002-07,2.861,
2002-10,2.988,
2003-01,2.892,
2003-04,2.901,
2003-07,3.423,
2003-10,3.433,
2004-01,3.195,
2004-04,3.242,
2004-07,2.876,
2004-10,2.936,
2005-01,3.554,
2005-04,3.689,
2005-07,3.711,
2005-10,3.853,
2006-01,4.289,
2006-04,4.524,
2006-07,4.277,
2006-10,4.831,
2007-01,5.688,
2007-04,6.773,
2007-07,7.341,
2007-10,7.499,
2008-01,8.042,
2008-04,9.595,
2008-07,9.875,
2008-10,9.946,
2009-01,9.817,
2009-04,10.319,
2009-07,9.977,
2009-10,10.259,
2010-01,10.583,
2010-04,11.173,
2010-07,11.298,
2010-10,11.575,
2011-01,11.421,
2011-04,11.591,
2011-07,11.717,
2011-10,11.822,
2012-01,11.873,
2012-04,12.299,
2012-07,12.684,
2012-10,12.958,
2013-01,13.116,
2013-04,13.748,
2013-07,13.959,
2013-10,14.595,
2014-01,14.629,
2014-04,15.116,
2014-07,15.301,
