"",BBK01.OEBB02G,BBK01.OEBB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:32,
2002-01,17.225,
2002-04,18.070,
2002-07,18.123,
2002-10,17.448,
2003-01,16.674,
2003-04,18.243,
2003-07,18.103,
2003-10,18.421,
2004-01,17.708,
2004-04,16.854,
2004-07,15.717,
2004-10,17.024,
2005-01,12.624,
2005-04,13.506,
2005-07,8.017,
2005-10,7.342,
2006-01,8.074,
2006-04,8.569,
2006-07,8.197,
2006-10,7.722,
2007-01,8.075,
2007-04,8.600,
2007-07,8.828,
2007-10,8.883,
2008-01,10.090,
2008-04,10.455,
2008-07,10.974,
2008-10,10.862,
2009-01,12.345,
2009-04,11.978,
2009-07,11.378,
2009-10,9.620,
2010-01,9.676,
2010-04,9.684,
2010-07,8.777,
2010-10,8.409,
2011-01,8.488,
2011-04,9.328,
2011-07,9.209,
2011-10,8.963,
2012-01,8.807,
2012-04,9.434,
2012-07,9.045,
2012-10,9.377,
2013-01,9.742,
2013-04,9.747,
2013-07,9.726,
2013-10,9.558,
2014-01,10.135,
2014-04,10.638,
2014-07,10.542,
