"",BBK01.OEYJ04M,BBK01.OEYJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:50,
2002-01,1.377,
2002-04,1.600,
2002-07,1.948,
2002-10,1.954,
2003-01,1.193,
2003-04,1.221,
2003-07,1.207,
2003-10,0.638,
2004-01,0.663,
2004-04,0.539,
2004-07,0.655,
2004-10,0.833,
2005-01,0.631,
2005-04,0.691,
2005-07,0.823,
2005-10,1.091,
2006-01,1.339,
2006-04,1.487,
2006-07,2.041,
2006-10,1.436,
2007-01,2.381,
2007-04,1.377,
2007-07,1.882,
2007-10,3.181,
2008-01,3.534,
2008-04,3.464,
2008-07,4.555,
2008-10,5.444,
2009-01,5.406,
2009-04,5.524,
2009-07,7.164,
2009-10,4.019,
2010-01,5.158,
2010-04,3.602,
2010-07,6.323,
2010-10,3.982,
2011-01,5.595,
2011-04,4.725,
2011-07,5.711,
2011-10,6.063,
2012-01,7.572,
2012-04,8.686,
2012-07,4.793,
2012-10,6.613,
2013-01,3.742,
2013-04,3.584,
2013-07,1.434,
2013-10,2.040,
2014-01,2.092,
2014-04,1.897,
2014-07,2.419,
